Career Cluster	Career Pathway	Code	Occupation
Agriculture, Food & Natural Resources	Food Products and Processing Systems	19-1012.00	Food Scientists and Technologists
Agriculture, Food & Natural Resources	Food Products and Processing Systems	45-2041.00	Graders and Sorters, Agricultural Products
Agriculture, Food & Natural Resources	Natural Resources Systems	11-9121.01	Clinical Research Coordinators  Bright Outlook
Agriculture, Food & Natural Resources	Natural Resources Systems	45-4021.00	Fallers
Agriculture, Food & Natural Resources	Natural Resources Systems	45-3011.00	Fishers and Related Fishing Workers
Agriculture, Food & Natural Resources	Natural Resources Systems	19-4093.00	Forest and Conservation Technicians  Green Occupation
Agriculture, Food & Natural Resources	Natural Resources Systems	45-4011.00	Forest and Conservation Workers  Green Occupation
Agriculture, Food & Natural Resources	Natural Resources Systems	19-1032.00	Foresters
Agriculture, Food & Natural Resources	Natural Resources Systems	19-4041.00	Geological and Petroleum Technicians
Agriculture, Food & Natural Resources	Natural Resources Systems	19-4041.02	Geological Sample Test Technicians  Green Occupation
Agriculture, Food & Natural Resources	Natural Resources Systems	19-4041.01	Geophysical Data Technicians  Green Occupation
Agriculture, Food & Natural Resources	Natural Resources Systems	45-3021.00	Hunters and Trappers
Agriculture, Food & Natural Resources	Natural Resources Systems	45-4023.00	Log Graders and Scalers
Agriculture, Food & Natural Resources	Natural Resources Systems	45-4022.00	Logging Equipment Operators
Agriculture, Food & Natural Resources	Natural Resources Systems	45-4029.00	Logging Workers, All Other
Agriculture, Food & Natural Resources	Natural Resources Systems	11-9121.00	Natural Sciences Managers  Green Occupation
Agriculture, Food & Natural Resources	Natural Resources Systems	11-9121.02	Water Resource Specialists  Bright Outlook  Green Occupation
Agriculture, Food & Natural Resources	Natural Resources Systems	19-1023.00	Zoologists and Wildlife Biologists  Green Occupation
Agriculture, Food & Natural Resources	Plant Systems	45-2099.00	Agricultural Workers, All Other
Agriculture, Food & Natural Resources	Plant Systems	19-4021.00	Biological Technicians
Agriculture, Food & Natural Resources	Plant Systems	45-2092.02	Farmworkers and Laborers, Crop  Bright Outlook
Agriculture, Food & Natural Resources	Plant Systems	45-2092.00	Farmworkers and Laborers, Crop, Nursery, and Greenhouse  Bright Outlook
Agriculture, Food & Natural Resources	Plant Systems	45-2092.01	Nursery Workers  Bright Outlook
Agriculture, Food & Natural Resources	Plant Systems	37-3012.00	Pesticide Handlers, Sprayers, and Applicators, Vegetation
Agriculture, Food & Natural Resources	Plant Systems	19-1013.00	Soil and Plant Scientists  Green Occupation
Agriculture, Food & Natural Resources	Plant Systems	37-3013.00	Tree Trimmers and Pruners
Agriculture, Food & Natural Resources	Power, Structural & Technical Systems	17-2021.00	Agricultural Engineers
Agriculture, Food & Natural Resources	Power, Structural & Technical Systems	45-2091.00	Agricultural Equipment Operators
Agriculture, Food & Natural Resources	Power, Structural & Technical Systems	49-3041.00	Farm Equipment Mechanics and Service Technicians
Architecture & Construction	Construction	47-2021.00	Brickmasons and Blockmasons  Bright Outlook
Architecture & Construction	Construction	47-2031.00	Carpenters  Bright Outlook
Architecture & Construction	Construction	47-2041.00	Carpet Installers
Architecture & Construction	Construction	47-2051.00	Cement Masons and Concrete Finishers  Green Occupation
Architecture & Construction	Construction	47-2031.01	Construction Carpenters  Bright Outlook  Green Occupation
Architecture & Construction	Construction	47-2061.00	Construction Laborers  Bright Outlook  Green Occupation
Architecture & Construction	Construction	11-9021.00	Construction Managers  Green Occupation
Architecture & Construction	Construction	47-5041.00	Continuous Mining Machine Operators  Green Occupation
Architecture & Construction	Construction	53-7011.00	Conveyor Operators and Tenders
Architecture & Construction	Construction	53-7021.00	Crane and Tower Operators
Architecture & Construction	Construction	47-5011.00	Derrick Operators, Oil and Gas
Architecture & Construction	Construction	53-7031.00	Dredge Operators
Architecture & Construction	Construction	47-2081.00	Drywall and Ceiling Tile Installers
Architecture & Construction	Construction	47-5021.00	Earth Drillers, Except Oil and Gas  Bright Outlook
Architecture & Construction	Construction	47-2111.00	Electricians  Bright Outlook  Green Occupation
Architecture & Construction	Construction	53-7032.00	Excavating and Loading Machine and Dragline Operators
Architecture & Construction	Construction	47-5031.00	Explosives Workers, Ordnance Handling Experts, and Blasters
Architecture & Construction	Construction	47-5099.00	Extraction Workers, All Other
Architecture & Construction	Construction	47-4031.00	Fence Erectors
Architecture & Construction	Construction	47-1011.00	First-Line Supervisors of Construction Trades and Extraction Workers  Bright Outlook
Architecture & Construction	Construction	47-2042.00	Floor Layers, Except Carpet, Wood, and Hard Tiles
Architecture & Construction	Construction	47-2043.00	Floor Sanders and Finishers
Architecture & Construction	Construction	47-2121.00	Glaziers
Architecture & Construction	Construction	47-3019.00	Helpers, Construction Trades, All Other
Architecture & Construction	Construction	47-3011.00	Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters  Bright Outlook
Architecture & Construction	Construction	47-3012.00	Helpers--Carpenters  Green Occupation
Architecture & Construction	Construction	47-3013.00	Helpers--Electricians  Bright Outlook
Architecture & Construction	Construction	47-5081.00	Helpers--Extraction Workers
Architecture & Construction	Construction	47-3014.00	Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons
Architecture & Construction	Construction	47-3015.00	Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters
Architecture & Construction	Construction	47-3016.00	Helpers--Roofers  Bright Outlook
Architecture & Construction	Construction	53-7041.00	Hoist and Winch Operators
Architecture & Construction	Construction	47-2131.00	Insulation Workers, Floor, Ceiling, and Wall  Green Occupation
Architecture & Construction	Construction	47-2132.00	Insulation Workers, Mechanical  Bright Outlook
Architecture & Construction	Construction	53-7033.00	Loading Machine Operators, Underground Mining
Architecture & Construction	Construction	49-9095.00	Manufactured Building and Mobile Home Installers
Architecture & Construction	Construction	47-5042.00	Mine Cutting and Channeling Machine Operators
Architecture & Construction	Construction	47-5049.00	Mining Machine Operators, All Other
Architecture & Construction	Construction	47-2073.00	Operating Engineers and Other Construction Equipment Operators  Green Occupation
Architecture & Construction	Construction	47-2141.00	Painters, Construction and Maintenance
Architecture & Construction	Construction	47-2142.00	Paperhangers
Architecture & Construction	Construction	47-2071.00	Paving, Surfacing, and Tamping Equipment Operators
Architecture & Construction	Construction	47-2072.00	Pile-Driver Operators  Bright Outlook
Architecture & Construction	Construction	47-2152.01	Pipe Fitters and Steamfitters  Bright Outlook  Green Occupation
Architecture & Construction	Construction	47-2151.00	Pipelayers
Architecture & Construction	Construction	47-2161.00	Plasterers and Stucco Masons
Architecture & Construction	Construction	47-2152.02	Plumbers  Bright Outlook  Green Occupation
Architecture & Construction	Construction	47-2152.00	Plumbers, Pipefitters, and Steamfitters  Bright Outlook
Architecture & Construction	Construction	47-2171.00	Reinforcing Iron and Rebar Workers  Bright Outlook
Architecture & Construction	Construction	49-9096.00	Riggers
Architecture & Construction	Construction	47-5051.00	Rock Splitters, Quarry
Architecture & Construction	Construction	47-5061.00	Roof Bolters, Mining
Architecture & Construction	Construction	47-2181.00	Roofers  Green Occupation
Architecture & Construction	Construction	47-5012.00	Rotary Drill Operators, Oil and Gas
Architecture & Construction	Construction	47-2031.02	Rough Carpenters  Bright Outlook  Green Occupation
Architecture & Construction	Construction	47-5071.00	Roustabouts, Oil and Gas
Architecture & Construction	Construction	47-4091.00	Segmental Pavers
Architecture & Construction	Construction	47-5013.00	Service Unit Operators, Oil, Gas, and Mining  Green Occupation
Architecture & Construction	Construction	47-2211.00	Sheet Metal Workers  Green Occupation
Architecture & Construction	Construction	47-1011.03	Solar Energy Installation Managers  Bright Outlook  Green Occupation
Architecture & Construction	Construction	47-2231.00	Solar Photovoltaic Installers  Bright Outlook  Green Occupation
Architecture & Construction	Construction	47-2022.00	Stonemasons  Bright Outlook
Architecture & Construction	Construction	47-2221.00	Structural Iron and Steel Workers  Green Occupation
Architecture & Construction	Construction	51-2041.00	Structural Metal Fabricators and Fitters  Green Occupation
Architecture & Construction	Construction	47-2082.00	Tapers
Architecture & Construction	Construction	47-2053.00	Terrazzo Workers and Finishers
Architecture & Construction	Construction	47-2044.00	Tile and Marble Setters
Architecture & Construction	Design/Pre-Construction	17-1011.00	Architects, Except Landscape and Naval  Green Occupation
Architecture & Construction	Design/Pre-Construction	17-3011.00	Architectural and Civil Drafters
Architecture & Construction	Design/Pre-Construction	17-3011.01	Architectural Drafters  Green Occupation
Architecture & Construction	Design/Pre-Construction	17-3011.02	Civil Drafters
Architecture & Construction	Design/Pre-Construction	17-3022.00	Civil Engineering Technicians
Architecture & Construction	Design/Pre-Construction	17-2051.00	Civil Engineers  Bright Outlook  Green Occupation
Architecture & Construction	Design/Pre-Construction	13-1051.00	Cost Estimators
Architecture & Construction	Design/Pre-Construction	17-1022.01	Geodetic Surveyors  Bright Outlook
Architecture & Construction	Design/Pre-Construction	27-1025.00	Interior Designers
Architecture & Construction	Design/Pre-Construction	17-1012.00	Landscape Architects  Green Occupation
Architecture & Construction	Design/Pre-Construction	17-3031.02	Mapping Technicians
Architecture & Construction	Design/Pre-Construction	17-3031.00	Surveying and Mapping Technicians
Architecture & Construction	Design/Pre-Construction	17-3031.01	Surveying Technicians
Architecture & Construction	Design/Pre-Construction	17-1022.00	Surveyors
Architecture & Construction	Design/Pre-Construction	17-2051.01	Transportation Engineers  Bright Outlook  Green Occupation
Architecture & Construction	Maintenance/Operations	47-2011.00	Boilermakers  Green Occupation
Architecture & Construction	Maintenance/Operations	49-9092.00	Commercial Divers  Bright Outlook
Architecture & Construction	Maintenance/Operations	47-4099.00	Construction and Related Workers, All Other
Architecture & Construction	Maintenance/Operations	49-9012.00	Control and Valve Installers and Repairers, Except Mechanical Door
Architecture & Construction	Maintenance/Operations	49-9051.00	Electrical Power-Line Installers and Repairers  Green Occupation
Architecture & Construction	Maintenance/Operations	47-4021.00	Elevator Installers and Repairers
Architecture & Construction	Maintenance/Operations	37-1012.00	First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers
Architecture & Construction	Maintenance/Operations	37-3019.00	Grounds Maintenance Workers, All Other
Architecture & Construction	Maintenance/Operations	49-9021.01	Heating and Air Conditioning Mechanics and Installers Bright Outlook  Green Occupation
Architecture & Construction	Maintenance/Operations	49-9021.00	Heating, Air Conditioning, and Refrigeration Mechanics and Installers  Bright Outlook
Architecture & Construction	Maintenance/Operations	49-9098.00	Helpers--Installation, Maintenance, and Repair Workers Green Occupation
Architecture & Construction	Maintenance/Operations	47-4051.00	Highway Maintenance Workers
Architecture & Construction	Maintenance/Operations	37-3011.00	Landscaping and Groundskeeping Workers  Bright Outlook
Architecture & Construction	Maintenance/Operations	49-9011.00	Mechanical Door Repairers
Architecture & Construction	Maintenance/Operations	49-9044.00	Millwrights  Bright Outlook  Green Occupation
Architecture & Construction	Maintenance/Operations	49-9045.00	Refractory Materials Repairers, Except Brickmasons
Architecture & Construction	Maintenance/Operations	49-9021.02	Refrigeration Mechanics and Installers  Bright Outlook  Green Occupation
Architecture & Construction	Maintenance/Operations	47-4071.00	Septic Tank Servicers and Sewer Pipe Cleaners  Bright Outlook
Architecture & Construction	Maintenance/Operations	47-4099.02	Solar Thermal Installers and Technicians  Bright Outlook  Green Occupation
Architecture & Construction	Maintenance/Operations	51-8021.00	Stationary Engineers and Boiler Operators  Green Occupation
Architecture & Construction	Maintenance/Operations	47-4099.03	Weatherization Installers and Technicians  Bright Outlook  Green Occupation
Arts, Audio/Video Technology & Communications	Journalism and Broadcasting	27-4011.00	Audio and Video Equipment Technicians
Arts, Audio/Video Technology & Communications	Journalism and Broadcasting	27-3021.00	Broadcast News Analysts
Arts, Audio/Video Technology & Communications	Journalism and Broadcasting	27-4012.00	Broadcast Technicians
Arts, Audio/Video Technology & Communications	Journalism and Broadcasting	27-4031.00	Camera Operators, Television, Video, and Motion Picture
Arts, Audio/Video Technology & Communications	Journalism and Broadcasting	27-3043.04	Copy Writers
Arts, Audio/Video Technology & Communications	Journalism and Broadcasting	27-3041.00	Editors
Arts, Audio/Video Technology & Communications	Journalism and Broadcasting	27-4032.00	Film and Video Editors  Bright Outlook
Arts, Audio/Video Technology & Communications	Journalism and Broadcasting	27-4099.00	Media and Communication Equipment Workers, All Other
Arts, Audio/Video Technology & Communications	Journalism and Broadcasting	27-3099.00	Media and Communication Workers, All Other
Arts, Audio/Video Technology & Communications	Journalism and Broadcasting	27-4021.00	Photographers
Arts, Audio/Video Technology & Communications	Journalism and Broadcasting	27-3043.05	Poets, Lyricists and Creative Writers
Arts, Audio/Video Technology & Communications	Journalism and Broadcasting	27-3011.00	Radio and Television Announcers
Arts, Audio/Video Technology & Communications	Journalism and Broadcasting	27-4013.00	Radio Operators
Arts, Audio/Video Technology & Communications	Journalism and Broadcasting	27-3022.00	Reporters and Correspondents  Green Occupation
Arts, Audio/Video Technology & Communications	Journalism and Broadcasting	27-4014.00	Sound Engineering Technicians
Arts, Audio/Video Technology & Communications	Journalism and Broadcasting	27-3042.00	Technical Writers
Arts, Audio/Video Technology & Communications	Journalism and Broadcasting	27-3043.00	Writers and Authors
Arts, Audio/Video Technology & Communications	Performing Arts	27-2011.00	Actors
Arts, Audio/Video Technology & Communications	Performing Arts	13-1011.00	Agents and Business Managers of Artists, Performers, and Athletes
Arts, Audio/Video Technology & Communications	Performing Arts	27-2032.00	Choreographers
Arts, Audio/Video Technology & Communications	Performing Arts	39-3092.00	Costume Attendants
Arts, Audio/Video Technology & Communications	Performing Arts	27-2031.00	Dancers
Arts, Audio/Video Technology & Communications	Performing Arts	27-2012.02	Directors- Stage, Motion Pictures, Television, and Radio
Arts, Audio/Video Technology & Communications	Performing Arts	27-2099.00	Entertainers and Performers, Sports and Related Workers, All Other
Arts, Audio/Video Technology & Communications	Performing Arts	39-5091.00	Makeup Artists, Theatrical and Performance  Bright Outlook
Arts, Audio/Video Technology & Communications	Performing Arts	27-2041.04	Music Composers and Arrangers
Arts, Audio/Video Technology & Communications	Performing Arts	27-2041.01	Music Directors
Arts, Audio/Video Technology & Communications	Performing Arts	27-2041.00	Music Directors and Composers
Arts, Audio/Video Technology & Communications	Performing Arts	27-2042.00	Musicians and Singers
Arts, Audio/Video Technology & Communications	Performing Arts	27-2042.02	Musicians, Instrumental
Arts, Audio/Video Technology & Communications	Performing Arts	27-2012.01	Producers
Arts, Audio/Video Technology & Communications	Performing Arts	27-2012.00	Producers and Directors
Arts, Audio/Video Technology & Communications	Performing Arts	27-2012.03	Program Directors
Arts, Audio/Video Technology & Communications	Performing Arts	27-3012.00	Public Address System and Other Announcers
Arts, Audio/Video Technology & Communications	Performing Arts	27-2042.01	Singers
Arts, Audio/Video Technology & Communications	Performing Arts	27-2012.04	Talent Directors
Arts, Audio/Video Technology & Communications	Performing Arts	27-2012.05	Technical Directors/Managers
Arts, Audio/Video Technology & Communications	Printing Technology	43-9031.00	Desktop Publishers
Arts, Audio/Video Technology & Communications	Printing Technology	51-5111.00	Prepress Technicians and Workers
Arts, Audio/Video Technology & Communications	Printing Technology	51-5113.00	Print Binding and Finishing Workers
Arts, Audio/Video Technology & Communications	Printing Technology	51-5112.00	Printing Press Operators
Arts, Audio/Video Technology & Communications	Printing Technology	43-9081.00	Proofreaders and Copy Markers
Arts, Audio/Video Technology & Communications	Telecommunications	49-2022.00	Telecommunications Equipment Installers and Repairers, Except Line Installers
Arts, Audio/Video Technology & Communications	Telecommunications	49-9052.00	Telecommunications Line Installers and Repairers
Arts, Audio/Video Technology & Communications	Visual Arts	27-1011.00	Art Directors
Arts, Audio/Video Technology & Communications	Visual Arts	27-1019.00	Artists and Related Workers, All Other
Arts, Audio/Video Technology & Communications	Visual Arts	27-1021.00	Commercial and Industrial Designers  Green Occupation
Arts, Audio/Video Technology & Communications	Visual Arts	27-1012.00	Craft Artists
Arts, Audio/Video Technology & Communications	Visual Arts	27-1029.00	Designers, All Other
Arts, Audio/Video Technology & Communications	Visual Arts	27-1022.00	Fashion Designers
Arts, Audio/Video Technology & Communications	Visual Arts	27-1013.00	Fine Artists, Including Painters, Sculptors, and Illustrators
Arts, Audio/Video Technology & Communications	Visual Arts	27-1023.00	Floral Designers
Arts, Audio/Video Technology & Communications	Visual Arts	27-1024.00	Graphic Designers
Arts, Audio/Video Technology & Communications	Visual Arts	27-1014.00	Multimedia Artists and Animators
Arts, Audio/Video Technology & Communications	Visual Arts	27-1027.00	Set and Exhibit Designers
Business Management & Administration	Administrative Support	43-3031.00	Bookkeeping, Accounting, and Auditing Clerks  Bright Outlook
Business Management & Administration	Administrative Support	43-2099.00	Communications Equipment Operators, All Other
Business Management & Administration	Administrative Support	43-9011.00	Computer Operators
Business Management & Administration	Administrative Support	43-4021.00	Correspondence Clerks
Business Management & Administration	Administrative Support	43-4051.00	Customer Service Representatives  Bright Outlook  Green Occupation
Business Management & Administration	Administrative Support	43-9021.00	Data Entry Keyers
Business Management & Administration	Administrative Support	43-6011.00	Executive Secretaries and Executive Administrative Assistants
Business Management & Administration	Administrative Support	43-4071.00	File Clerks
Business Management & Administration	Administrative Support	43-1011.00	First-Line Supervisors of Office and Administrative Support Workers  Bright Outlook
Business Management & Administration	Administrative Support	43-4161.00	Human Resources Assistants, Except Payroll and Timekeeping
Business Management & Administration	Administrative Support	43-4199.00	Information and Record Clerks, All Other
Business Management & Administration	Administrative Support	43-4111.00	Interviewers, Except Eligibility and Loan
Business Management & Administration	Administrative Support	43-4121.00	Library Assistants, Clerical
Business Management & Administration	Administrative Support	43-9051.00	Mail Clerks and Mail Machine Operators, Except Postal Service
Business Management & Administration	Administrative Support	43-5081.02	Marking Clerks  Bright Outlook
Business Management & Administration	Administrative Support	43-5041.00	Meter Readers, Utilities
Business Management & Administration	Administrative Support	43-4141.00	New Accounts Clerks
Business Management & Administration	Administrative Support	43-9199.00	Office and Administrative Support Workers, All Other
Business Management & Administration	Administrative Support	43-9061.00	Office Clerks, General  Bright Outlook
Business Management & Administration	Administrative Support	43-9071.00	Office Machine Operators, Except Computer
Business Management & Administration	Administrative Support	43-4151.00	Order Clerks
Business Management & Administration	Administrative Support	43-5081.04	Order Fillers, Wholesale and Retail Sales  Bright Outlook
Business Management & Administration	Administrative Support	43-4051.03	Patient Representatives  Bright Outlook
Business Management & Administration	Administrative Support	43-3051.00	Payroll and Timekeeping Clerks
Business Management & Administration	Administrative Support	43-5051.00	Postal Service Clerks
Business Management & Administration	Administrative Support	43-5052.00	Postal Service Mail Carriers
Business Management & Administration	Administrative Support	43-5053.00	Postal Service Mail Sorters, Processors, and Processing Machine Operators
Business Management & Administration	Administrative Support	43-3061.00	Procurement Clerks
Business Management & Administration	Administrative Support	43-4171.00	Receptionists and Information Clerks  Bright Outlook
Business Management & Administration	Administrative Support	43-6014.00	Secretaries and Administrative Assistants, Except Legal, Medical, and Executive  Bright Outlook
Business Management & Administration	Administrative Support	43-5071.00	Shipping, Receiving, and Traffic Clerks  Bright Outlook  Green Occupation
Business Management & Administration	Administrative Support	43-5081.00	Stock Clerks and Order Fillers  Bright Outlook
Business Management & Administration	Administrative Support	43-5081.01	Stock Clerks, Sales Floor  Bright Outlook
Business Management & Administration	Administrative Support	43-5081.03	Stock Clerks- Stockroom, Warehouse, or Storage Yard Bright Outlook
Business Management & Administration	Administrative Support	43-2011.00	Switchboard Operators, Including Answering Service
Business Management & Administration	Administrative Support	43-2021.00	Telephone Operators
Business Management & Administration	Administrative Support	43-9022.00	Word Processors and Typists
Business Management & Administration	Business Information Management	11-3021.00	Computer and Information Systems Managers  Bright Outlook
Business Management & Administration	General Management	11-9199.11	Brownfield Redevelopment Specialists and Site Managers  Bright Outlook  Green Occupation
Business Management & Administration	General Management	11-1011.00	Chief Executives
Business Management & Administration	General Management	11-1011.03	Chief Sustainability Officers  Bright Outlook  Green Occupation
Business Management & Administration	General Management	11-9199.02	Compliance Managers  Bright Outlook  Green Occupation
Business Management & Administration	General Management	11-1021.00	General and Operations Managers  Bright Outlook  Green Occupation
Business Management & Administration	General Management	11-9199.03	Investment Fund Managers  Bright Outlook
Business Management & Administration	General Management	11-9199.08	Loss Prevention Managers  Bright Outlook
Business Management & Administration	General Management	11-9199.00	Managers, All Other  Bright Outlook
Business Management & Administration	General Management	11-9199.01	Regulatory Affairs Managers  Bright Outlook  Green Occupation
Business Management & Administration	General Management	11-9199.07	Security Managers  Bright Outlook
Business Management & Administration	General Management	11-9199.04	Supply Chain Managers  Bright Outlook  Green Occupation
Business Management & Administration	General Management	11-9199.09	Wind Energy Operations Managers  Bright Outlook  Green Occupation
Business Management & Administration	General Management	11-9199.10	Wind Energy Project Managers  Bright Outlook  Green Occupation
Business Management & Administration	Human Resources Management	11-3111.00	Compensation and Benefits Managers
Business Management & Administration	Human Resources Management	13-1141.00	Compensation, Benefits, and Job Analysis Specialists
Business Management & Administration	Human Resources Management	11-3121.00	Human Resources Managers
Business Management & Administration	Human Resources Management	13-1071.00	Human Resources Specialists  Bright Outlook
Business Management & Administration	Human Resources Management	13-1075.00	Labor Relations Specialists
Business Management & Administration	Human Resources Management	11-3131.00	Training and Development Managers
Business Management & Administration	Human Resources Management	13-1151.00	Training and Development Specialists  Green Occupation
Business Management & Administration	Operations Management	11-3011.00	Administrative Services Managers
Business Management & Administration	Operations Management	11-3051.03	Biofuels Production Managers  Bright Outlook  Green Occupation
Business Management & Administration	Operations Management	11-3051.04	Biomass Power Plant Managers  Bright Outlook  Green Occupation
Business Management & Administration	Operations Management	13-1199.04	Business Continuity Planners  Bright Outlook
Business Management & Administration	Operations Management	13-1199.00	Business Operations Specialists, All Other  Bright Outlook
Business Management & Administration	Operations Management	13-1199.03	Customs Brokers  Bright Outlook
Business Management & Administration	Operations Management	13-1199.01	Energy Auditors  Bright Outlook  Green Occupation
Business Management & Administration	Operations Management	13-1131.00	Fundraisers
Business Management & Administration	Operations Management	11-3051.02	Geothermal Production Managers  Bright Outlook  Green Occupation
Business Management & Administration	Operations Management	11-3051.06	Hydroelectric Production Managers  Bright Outlook  Green Occupation
Business Management & Administration	Operations Management	11-3051.00	Industrial Production Managers  Green Occupation
Business Management & Administration	Operations Management	13-1111.00	Management Analysts  Bright Outlook
Business Management & Administration	Operations Management	13-1121.00	Meeting, Convention, and Event Planners
Business Management & Administration	Operations Management	11-3051.05	Methane/Landfill Gas Collection System Operators  Bright Outlook  Green Occupation
Business Management & Administration	Operations Management	13-1199.06	Online Merchants  Bright Outlook
Business Management & Administration	Operations Management	15-2031.00	Operations Research Analysts  Bright Outlook
Business Management & Administration	Operations Management	11-3061.00	Purchasing Managers
Business Management & Administration	Operations Management	11-3051.01	Quality Control Systems Managers  Bright Outlook
Business Management & Administration	Operations Management	13-1199.02	Security Management Specialists  Bright Outlook
Business Management & Administration	Operations Management	13-1199.05	Sustainability Specialists  Bright Outlook  Green Occupation
Education & Training	Administration and Administrative Support	11-9039.01	Distance Learning Coordinators  Bright Outlook
Education & Training	Administration and Administrative Support	11-9039.00	Education Administrators, All Other
Education & Training	Administration and Administrative Support	11-9032.00	Education Administrators, Elementary and Secondary School
Education & Training	Administration and Administrative Support	11-9033.00	Education Administrators, Postsecondary
Education & Training	Administration and Administrative Support	11-9031.00	Education Administrators, Preschool and Childcare Center/Program
Education & Training	Administration and Administrative Support	11-9039.02	Fitness and Wellness Coordinators  Bright Outlook
Education & Training	Professional Support Services	25-4011.00	Archivists
Education & Training	Professional Support Services	25-9011.00	Audio-Visual and Multimedia Collections Specialists
Education & Training	Professional Support Services	25-4012.00	Curators
Education & Training	Professional Support Services	21-1012.00	Educational, Guidance, School, and Vocational Counselors
Education & Training	Professional Support Services	25-9031.00	Instructional Coordinators
Education & Training	Professional Support Services	25-9031.01	Instructional Designers and Technologists  Bright Outlook
Education & Training	Professional Support Services	27-3091.00	Interpreters and Translators  Bright Outlook
Education & Training	Professional Support Services	25-4021.00	Librarians
Education & Training	Professional Support Services	25-4031.00	Library Technicians
Education & Training	Professional Support Services	25-4013.00	Museum Technicians and Conservators
Education & Training	Teaching/Training	25-2059.01	Adapted Physical Education Specialists  Bright Outlook
Education & Training	Teaching/Training	25-3011.00	Adult Basic and Secondary Education and Literacy Teachers and Instructors
Education & Training	Teaching/Training	25-1041.00	Agricultural Sciences Teachers, Postsecondary
Education & Training	Teaching/Training	25-1061.00	Anthropology and Archeology Teachers, Postsecondary
Education & Training	Teaching/Training	25-1031.00	Architecture Teachers, Postsecondary
Education & Training	Teaching/Training	25-1062.00	Area, Ethnic, and Cultural Studies Teachers, Postsecondary  Bright Outlook
Education & Training	Teaching/Training	25-1121.00	Art, Drama, and Music Teachers, Postsecondary
Education & Training	Teaching/Training	25-1051.00	Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary
Education & Training	Teaching/Training	25-1042.00	Biological Science Teachers, Postsecondary  Bright Outlook
Education & Training	Teaching/Training	25-1011.00	Business Teachers, Postsecondary
Education & Training	Teaching/Training	25-2023.00	Career/Technical Education Teachers, Middle School
Education & Training	Teaching/Training	25-2032.00	Career/Technical Education Teachers, Secondary School
