Occupation_x	Occupation_y	summary	sampleTitles
Fuel Cell Engineers	Fuel Cell Engineers	Design, evaluate, modify, or construct fuel cell components or systems for transportation, stationary, or portable applications.	Director, Hydrogen Storage Engineering; Division Director; Engineering Professor; Professor of Chemical Engineering; Research Engineer; Scientist/Engineer; Senior Engineer; Senior Research Engineer; Senior Scientist; Senior Stack Engineer
Mechanical Engineers	Mechanical Engineers	Perform engineering duties in planning and designing tools, engines, machines, and other mechanically functioning equipment. Oversee installation, operation, maintenance, and repair of equipment such as centralized heat, gas, water, and steam systems.	Application Engineer, Design Engineer, Design Maintenance Engineer, Equipment Engineer, Mechanical Design Engineer, Mechanical Engineer, Process Engineer, Product Engineer, Project Engineer, Test Engineer
Biochemical Engineers	Biochemical Engineers	Develop usable, tangible products, using knowledge of biology, chemistry, or engineering. Solve problems related to materials, systems, or processes that interact with humans, plants, animals, microorganisms, or biological materials.	Engineering Director, Process Engineer, Research Associate, Research Engineer, Research Fellow, Research Greenhouse Supervisor, Research Scientist, University Extension Specialist
Energy Engineers	Energy Engineers	Design, develop, or evaluate energy-related projects or programs to reduce energy costs or improve energy efficiency during the designing, building, or remodeling stages of construction. May specialize in electrical systems; heating, ventilation, and air-conditioning (HVAC) systems; green buildings; lighting; air quality; or energy procurement.	Distributed Generation Project Manager, Energy Efficiency Engineer, Energy Engineer, Energy Manager, Environmental Solutions Engineer, Industrial Energy Engineer, Measurement And Verification Engineer, Project Engineering Director, Resource Efficiency Manager, Test and Balance Engineer
Engineers, All Other	Engineers, All Other	All engineers not listed separately.	none
Manufacturing Engineers	Manufacturing Engineers	Design, integrate, or improve manufacturing systems or related processes. May work with commercial or industrial designers to refine product designs to increase producibility and decrease costs.	Facility Engineer, Manufacturing Director, Manufacturing Engineer, Manufacturing Engineering Manager, Plant Engineer, Process Engineer
Mechatronics Engineers	Mechatronics Engineers	Research, design, develop, or test automation, intelligent systems, smart devices, or industrial systems control.	Automation Engineer, Automation Specialist, Controls Engineer, Development Engineer, Equipment Engineer, Principal Engineer, Process Engineer, Project Engineer, Senior Design Engineer, Senior Project Engineer
Microsystems Engineers	Microsystems Engineers	Research, design, develop, or test microelectromechanical systems (MEMS) devices.	Control Systems Engineer, MEMS Integration Engineer (Microelectrical Mechanical Integration Engineer), Microsystems Engineer, Process Engineer, Product Design Engineer, Project Design Engineer, Project Engineer, Radio Frequency Design Engineer (RF Design Engineer), System Engineer, Systems Engineer
Nanosystems Engineers	Nanosystems Engineers	Design, develop, or supervise the production of materials, devices, or systems of unique molecular or macromolecular composition, applying principles of nanoscale physics and electrical, chemical, or biological engineering.	Advanced Research Programs Director, Microarray Operations Vice President, Research Scientist, Scientist, Technical Programs Manager
Photonics Engineers	Photonics Engineers	Design technologies specializing in light information or light energy, such as laser or fiber optics technology.	Laser Engineer, Optical Design Engineer, Optical Engineer, Optical Engineering Manager, Optical Scientist, Optical Systems Engineer, Optoelectronics Engineer, Process Engineering and Metrology Manager, System Engineer, Technology Director
Robotics Engineers	Robotics Engineers	Research, design, develop, or test robotic applications.	Associate Professor of Automation, Automation Engineer, Engineer, Plant Floor Automation Manager
Solar Energy Systems Engineers	Solar Energy Systems Engineers	Perform site-specific engineering analysis or evaluation of energy efficiency and solar projects involving residential, commercial, or industrial customers. Design solar domestic hot water and space heating systems for new and existing structures, applying knowledge of structural energy requirements, local climates, solar technology, and thermodynamics.	Consulting Engineer, Distributed Energy Systems Consultant, Energy Systems Laboratory Director, Engineering Vice President, Field Engineer, Power Systems Engineer, Renewable Energy Division Manager, Research Engineer, Solar Engineer
Validation Engineers	Validation Engineers	Design or plan protocols for equipment or processes to produce products meeting internal and external purity, safety, and quality requirements.	Corporate Quality Engineer, Corporate Quality Manager, Quality and Reliability Engineer, Quality Assurance Engineer, Quality Coordinator, Quality Director, Quality Engineer, Quality Specialist, Supplier Quality Engineer, Validation Specialist
Wind Energy Engineers	Wind Energy Engineers	Design underground or overhead wind farm collector systems and prepare and develop site specifications.	Project Designer, Transmission and Distribution Engineering; Project Engineer; Senior Engineer/Practice Leader-Land Development and Engineering; Senior Project Engineer; Senior Wind Energy Consultant; Turbine Measurements Engineer; Utility Engineer; Wind Farm Siting and Development Consultant; Wind Science and Planning; Wind Turbine Design Engineer
Biomedical Engineers	Biomedical Engineers	Apply knowledge of engineering, biology, and biomechanical principles to the design, development, and evaluation of biological and health systems and products, such as artificial organs, prostheses, instrumentation, medical information systems, and health management and care delivery systems.	Biomedical Electronics Technician, Biomedical Engineer, Biomedical Engineering Director, Biomedical Engineering Technician, Biomedical Equipment Technician (BMET), Biomedical Manager, Biomedical Technician, Clinical Engineer, Professor, Research Engineer
Cartographers and Photogrammetrists	Cartographers and Photogrammetrists	Collect, analyze, and interpret geographic information provided by geodetic surveys, aerial photographs, and satellite data. Research, study, and prepare maps and other spatial data in digital or graphic form for legal, social, political, educational, and design purposes. May work with Geographic Information Systems (GIS). May design and evaluate algorithms, data structures, and user interfaces for GIS and mapping systems.	Cartographer, Compiler, Digital Cartographer, Geographic Information Systems Specialist (GIS Specialist), GIS Analyst (Geographic Information Systems Analyst), Photogrammetric Technician, Photogrammetrist, Production Manager, Stereo Compiler, Stereoplotter Operator
Chemical Engineers	Chemical Engineers	Design chemical plant equipment and devise processes for manufacturing chemicals and products, such as gasoline, synthetic rubber, plastics, detergents, cement, paper, and pulp, by applying principles and technology of chemistry, physics, and engineering.	Chemical Engineer, Development Engineer, Engineer, Engineering Scientist, Process Control Engineer, Process Development Engineer, Process Engineer, Project Engineer, Refinery Process Engineer, Scientist
Civil Engineering Technicians	Civil Engineering Technicians	Apply theory and principles of civil engineering in planning, designing, and overseeing construction and maintenance of structures and facilities under the direction of engineering staff or physical scientists.	Civil Designer, Civil Engineering Assistant, Civil Engineering Designer, Civil Engineering Technician, Construction Analyst, Design Technician, Engineering Assistant, Engineering Specialist, Engineering Technician, Transportation Engineering Technician
Civil Engineers	Civil Engineers	Perform engineering duties in planning, designing, and overseeing construction and maintenance of building structures, and facilities, such as roads, railroads, airports, bridges, harbors, channels, dams, irrigation projects, pipelines, power plants, and water and sewage systems.	Bridge/Structure Inspection Team Leader, City Engineer, Civil Engineer, Civil Engineering Manager, County Engineer, Design Engineer, Project Engineer, Railroad Design Consultant, Structural Engineer, Traffic Engineer
Transportation Engineers	Transportation Engineers	Develop plans for surface transportation projects, according to established engineering standards and state or federal construction policy. Prepare designs, specifications, or estimates for transportation facilities. Plan modifications of existing streets, highways, or freeways to improve traffic flow.	Project Manager, Traffic Operations Engineer, Transportation Engineer
Computer Hardware Engineers	Computer Hardware Engineers	Research, design, develop, or test computer or computer-related equipment for commercial, industrial, military, or scientific use. May supervise the manufacturing and installation of computer or computer-related equipment and components.	Design Engineer, Engineer, Field Service Engineer, Hardware Design Engineer, Hardware Engineer, Network Engineer, Project Engineer, Senior Hardware Engineer, Systems Engineer, Systems Integration Engineer
Drafters, All Other	Drafters, All Other	All drafters not listed separately.	none
Electrical and Electronic Engineering Technicians	Electrical and Electronic Engineering Technicians	Apply electrical and electronic theory and related knowledge, usually under the direction of engineering staff, to design, build, repair, calibrate, and modify electrical components, circuitry, controls, and machinery for subsequent evaluation and use by engineering staff in making engineering design decisions.	none
Electrical Engineering Technicians	Electrical Engineering Technicians	Test or modify developmental or operational electrical machinery or electrical control equipment and circuitry in industrial or commercial plants or laboratories. Usually work under direction of engineers or technologists.	Electrical Engineering Technician, Electrical Technician, Engineering Assistant, Engineering Technician, Generation Technician, Instrument and Controls Technician (I & C Technician), Relay Tester, Results Technician, Test Specialist, Test Technician
Electronics Engineering Technicians	Electronics Engineering Technicians	Lay out, build, test, troubleshoot, repair, and modify developmental and production electronic components, parts, equipment, and systems, such as computer equipment, missile control instrumentation, electron tubes, test equipment, and machine tool numerical controls, applying principles and theories of electronics, electrical circuitry, engineering mathematics, electronic and electrical testing, and physics. Usually work under direction of engineering staff.	Digital Tech (Digital Technician), Electrical Technician, Electronics Engineering Technician, Electronics Technician, Engineering Technician (Engineering Tech), Failure Analysis Technician (FA Technician), Refurbish Technician (Refurb Tech), Senior Electronics Technician, Technician, Test Technician
Electrical and Electronics Drafters	Electrical and Electronics Drafters	Prepare wiring diagrams, circuit board assembly diagrams, and layout drawings used for the manufacture, installation, or repair of electrical equipment.	none
Electrical Drafters	Electrical Drafters	Develop specifications and instructions for installation of voltage transformers, overhead or underground cables, and related electrical equipment used to conduct electrical energy from transmission lines or high-voltage distribution lines to consumers.	Associate Drafter, CAD Operator (Computer Aided Design Operator), CAD Technician (Computer Aided Drafting Technician), Drafter, Electrical Designer, Electrical Drafter, Engineering Agent, Engineering Associate, Line Staker, Staking Engineer
Electronic Drafters	Electronic Drafters	Draw wiring diagrams, circuit board assembly diagrams, schematics, and layout drawings used for manufacture, installation, and repair of electronic equipment.	Design Drafter, Designer, Drafter, Integrated Circuit IC Layout Designer (IC Layout Designer), Layout Designer, Mask Designer, Printed Circuit Board PCB Designer (PCB Designer), Printed Circuit Board PCB Draftsman (PCB Draftsman), Senior Designer, Senior Printed Circuit Board PCB Designer
Electrical Engineering Technologists	Electrical Engineering Technologists	Assist electrical engineers in such activities as process control, electrical power distribution, or instrumentation design. May prepare layouts of electrical transmission or distribution systems, supervise the flow of work, estimate project costs, or participate in research studies.	Design Tech; Electrical Tech/Project Manager; Engineering Tech; Engineering Technologist; Senior Analysis Specialist; Senior Engineering Tech; Senior Process Control Tech; Technologist; Technologist Electronic Design or Technical Director; Technologist, Development
Electromechanical Engineering Technologists	Electromechanical Engineering Technologists	Assist electromechanical engineers in such activities as computer-based process control, instrumentation, or machine design. May prepare layouts of machinery or equipment, plan the flow of work, conduct statistical studies, or analyze production costs.	Designer, Engineering Specialist, Engineering Tech, Instrumentation and Electrical Preventive Maintenance Inspector IE PM Inspector, Process Control Tech, R&D Lab Technician, Senior Design Engineering Specialist, Senior Designer, Senior Mechanical Designer, Senior Tech Manufacturing Engineering
Electronics Engineering Technologists	Electronics Engineering Technologists	Assist electronics engineers in such activities as electronics systems and instrumentation design or digital signal processing.	Electronics Department Manager, Electronics Technology Department Chair, Electronics Technology Instructor, Professor
Engineering Technicians, Except Drafters, All Other	Engineering Technicians, Except Drafters, All Other	All engineering technicians, except drafters, not listed separately.	none
Fuel Cell Technicians	Fuel Cell Technicians	Install, operate, or maintain integrated fuel cell systems in transportation, stationary, or portable applications.	tion for which data collection is currently underway.
Industrial Engineering Technologists	Industrial Engineering Technologists	Assist industrial engineers in such activities as quality control, inventory control, or material flow methods. May conduct statistical studies or analyze production costs.	Associate Product Integrity Engineer; Head of Operation and Logistics; Liaison Engineer; Manager, Asset Management; Materials Planner/Production Planner; Planner/Scheduler; Production Control Supervisor; Quality Management Coordinator; Quality Tech; Senior Quality Methods Specialist
Manufacturing Engineering Technologists	Manufacturing Engineering Technologists	Develop tools, implement designs, or integrate machinery, equipment, or computer technologies to ensure effective manufacturing processes.	Business Process Analyst, Manufacturing Technology Analyst, Technical Fellow, Tool Design Engineer
Manufacturing Production Technicians	Manufacturing Production Technicians	Set up, test, and adjust manufacturing machinery or equipment, using any combination of electrical, electronic, mechanical, hydraulic, pneumatic, or computer technologies.	Research and Development Machinist
Mechanical Engineering Technologists	Mechanical Engineering Technologists	Assist mechanical engineers in such activities as generation, transmission, or use of mechanical or fluid energy. Prepare layouts of machinery or equipment or plan the flow of work. May conduct statistical studies or analyze production costs.	CAD Designer (Computer Aided Design Designer), Engineer Technical Staff, Engineering Tech, Engineering Technologist, Mechanical Designer, Mechanical Designer/Wind-Chill Administrator, Senior Designer, Senior Process Analyst, Technical Staff Engineer, Tooling Engineering Tech
Nanotechnology Engineering Technicians	Nanotechnology Engineering Technicians	Operate commercial-scale production equipment to produce, test, or modify materials, devices, or systems of molecular or macromolecular composition. Work under the supervision of engineering staff.	Engineering Technician, Laboratory Manager (Lab Manager), Laboratory Technician (Lab Technician), Microfabrication Engineer Manager, Nanofabrication Specialist, Process Engineering Technician, Research Scientist, Research Support Specialist, Research Technician, Technical Associate
Nanotechnology Engineering Technologists	Nanotechnology Engineering Technologists	Implement production processes for nanoscale designs to produce or modify materials, devices, or systems of unique molecular or macromolecular composition. Operate advanced microscopy equipment to manipulate nanoscale objects. Work under the supervision of nanoengineering staff.	tion for which data collection is currently underway.
Non-Destructive Testing Specialists	Non-Destructive Testing Specialists	Test the safety of structures, vehicles, or vessels using x-ray, ultrasound, fiber optic or related equipment.	Industrial Radiographer, Inspector, Non-Destructive Evaluation Manager (NDE Manager), Non-Destructive Evaluation Technician (NDE Technician), Non-Destructive Testing Services Director (NDT Services Director), Non-Destructive Testing Specialist (NDT Specialist), Non-Destructive Testing Supervisor (NDT Supervisor), Non-Destructive Testing Technician (NDT Technician), Quality Engineer, Quality Manager
Photonics Technicians	Photonics Technicians	Build, install, test, or maintain optical or fiber optic equipment, such as lasers, lenses, or mirrors, using spectrometers, interferometers, or related equipment.	Coating Manager, Engineering Technician (Engineering Tech), Engineering Technologist, Fiber Optics Technician, Laser Technician, Lead Technician, Optomechanical Technician, Photonic Laboratory Technician (Photonic Lab Tech), Photonics Technician, Ruling Technician
Electrical Engineers	Electrical Engineers	Research, design, develop, test, or supervise the manufacturing and installation of electrical equipment, components, or systems for commercial, industrial, military, or scientific use.	Circuits Engineer, Design Engineer, Electrical Controls Engineer, Electrical Design Engineer, Electrical Engineer, Electrical Project Engineer, Instrumentation and Electrical Reliability Engineer (I&E Reliability Engineer), Power Systems Engineer, Project Engineer, Test Engineer
Electro-Mechanical Technicians	Electro-Mechanical Technicians	Operate, test, maintain, or calibrate unmanned, automated, servo-mechanical, or electromechanical equipment. May operate unmanned submarines, aircraft, or other equipment at worksites, such as oil rigs, deep ocean exploration, or hazardous waste removal. May assist engineers in testing and designing robotics equipment.	Electro-Mechanic, Electro-Mechanical Technician (E/M Technician), Electronic Technician, Engineering Technician, Laboratory Technician (Lab Technician), Maintenance Technician, Mechanical Technician, Product Test Specialist, Test Technician, Tester
Robotics Technicians	Robotics Technicians	Build, install, test, or maintain robotic equipment or related automated production systems.	Automation Technician, Electrical and Instrumentation Technician (E and I Technician), Electronics Technician, Field Service Technician, Instrument Specialist, Instrumentation Technician
Electronics Engineers, Except Computer	Electronics Engineers, Except Computer	Research, design, develop, or test electronic components and systems for commercial, industrial, military, or scientific use employing knowledge of electronic theory and materials properties. Design electronic circuits and components for use in fields such as telecommunications, aerospace guidance and propulsion control, acoustics, or instruments and controls.	Design Engineer, Electronics Design Engineer, Engineering Manager, Evaluation Engineer, Integrated Circuit Design Engineer (IC Design Engineer), Product Engineer, Radio Frequency Engineer (RF Engineer), Research and Development Engineer (R&D Engineer), Test Engineer, Test Engineering Manager
Radio Frequency Identification Device Specialists	Radio Frequency Identification Device Specialists	Design and implement radio frequency identification device (RFID) systems used to track shipments or goods.	Deployment Engineer, Electro Magnetic Compatibility Test Engineer, Emerging Technologies Director, Engineering and Development Director, Engineering Director, Quality Director, RFID Engineer (Radio Frequency Identification Device Engineer), RFID Manager (Radio Frequency Identification Device Manager), RFID Systems Engineer (Radio Frequency Identification Device Systems Engineer), Technical Support Engineer
Environmental Engineering Technicians	Environmental Engineering Technicians	Apply theory and principles of environmental engineering to modify, test, and operate equipment and devices used in the prevention, control, and remediation of environmental problems, including waste treatment and site remediation, under the direction of engineering staff or scientist. May assist in the development of environmental remediation devices.	Air Quality Instrument Specialist, Engineer Technician, Environmental Engineering Assistant, Environmental Engineering Technician, Environmental Field Technician, Environmental Specialist, Environmental Technician, Haz Tech (Hazardous Technician), Industrial Waste Inspector, Senior Environmental Technician
Environmental Engineers	Environmental Engineers	Research, design, plan, or perform engineering duties in the prevention, control, and remediation of environmental hazards using various engineering disciplines. Work may include waste treatment, site remediation, or pollution control technology.	Air Pollution Control Engineer; Chief, Pesticides and Toxic Substances Branch; Environmental Analyst; Environmental Engineer; Environmental Remediation Specialist; Global Director Air and Climate Change; Hazardous Substances Engineer; Marine Engineer CPVEC (Marine Engineer Commercial Passenger Vessel Environmental Compliance); Regulatory Environmental Compliance Manager; Sanitary Engineer
Water/Wastewater Engineers	Water/Wastewater Engineers	Design or oversee projects involving provision of potable water, disposal of wastewater and sewage, or prevention of flood-related damage. Prepare environmental documentation for water resources, regulatory program compliance, data management and analysis, and field work. Perform hydraulic modeling and pipeline design.	Acting Section Chief, Assistant County Engineer, Director Water and Waste Services, Engineer and Geologist, Principal Consulting Engineer, Principal Technologist, Program Manager, Project Manager/Design Manager, Surface Water Manager, Water Reuse Program Manager
Fire-Prevention and Protection Engineers	Fire-Prevention and Protection Engineers	Research causes of fires, determine fire protection methods, and design or recommend materials or equipment such as structural components or fire-detection equipment to assist organizations in safeguarding life and property against fire, explosion, and related hazards.	Chief Engineer, Consulting Engineer, Design Director, Engineer, Fire Protection Engineer, Fire Protection Engineer and Code Consultant (FP Engineer and Code Consultant), Lead Fire Protection Engineer, Loss Control Manager, Senior Engineer, Senior Fire Protection Engineer
Health and Safety Engineers, Except Mining Safety Engineers and Inspectors	Health and Safety Engineers, Except Mining Safety Engineers and Inspectors	Promote worksite or product safety by applying knowledge of industrial processes, mechanics, chemistry, psychology, and industrial health and safety laws. Includes industrial product safety engineers.	none
Industrial Safety and Health Engineers	Industrial Safety and Health Engineers	Plan, implement, and coordinate safety programs, requiring application of engineering principles and technology, to prevent or correct unsafe environmental working conditions.	Chief Security and Safety Officer (CSO); Corporate Health, Safety, and Occupational Toxicology Director; Corporate Health, Safety, and Security Manager; Environmental Affairs, Safety, and Security Manager; Environmental Health and Safety Director (EHS Director); Environmental Safety Specialist; Health and Safety Manager; Health, Safety, and Environment Manager; Safety and Health Consultant; Safety, Health, and Environment Vice President
Product Safety Engineers	Product Safety Engineers	Develop and conduct tests to evaluate product safety levels and recommend measures to reduce or eliminate hazards.	Extra Vehicular Activity Safety Engineer (EVA Engineer), Product Safety and Standards Engineer, Product Safety Consultant, Product Safety Coordinator, Product Safety Engineer, Product Safety Manager, Product Safety Officer, Risk Control Product Liability Director, Service Loss Control Consultant, System Safety Engineer
Geodetic Surveyors	Geodetic Surveyors	Measure large areas of the Earth's surface using satellite observations, global navigation satellite systems (GNSS), light detection and ranging (LIDAR), or related sources.	Geodesist, Geodetic Advisor, Geodetic Survey Director, Geodetic Surveyor, Licensed Land Surveyor, Regional Geodetic Advisor, Research Specialist, Survey Director, Survey Supervisor
Surveyors	Surveyors	Make exact measurements and determine property boundaries. Provide data relevant to the shape, contour, gravitation, location, elevation, or dimension of land or land features on or near the earth's surface for engineering, mapmaking, mining, land evaluation, construction, and other purposes.	County Surveyor, Engineer, Engineering Technician, Geodesist, Land Surveyor, Licensed Land Surveyor, Mine Surveyor, Professional Land Surveyor, Survey Party Chief, Surveyor
Human Factors Engineers and Ergonomists	Human Factors Engineers and Ergonomists	Design objects, facilities, and environments to optimize human well-being and overall system performance, applying theory, principles, and data regarding the relationship between humans and respective technology. Investigate and analyze characteristics of human behavior and performance as it relates to the use of technology.	Consultant in Ergonomics and Safety; Ergonomist; Human Factors Advisor, Lead; Human Factors Engineer; Human Factors Scientist; Managing Cognitive Engineer; PI/Senior Research Associate; Principal Engineer; Senior Research Associate; User Experience Team Lead
Industrial Engineers	Industrial Engineers	Design, develop, test, and evaluate integrated systems for managing industrial production processes, including human work factors, quality control, inventory control, logistics and material flow, cost analysis, and production coordination.	Engineer, Engineering Manager, Industrial Engineer, Manufacturing Specialist, Operations Engineer, Plant Engineer, Process Engineer, Production Engineer, Supply Chain Engineer, Tool Engineer
Industrial Engineering Technicians	Industrial Engineering Technicians	Apply engineering theory and principles to problems of industrial layout or manufacturing production, usually under the direction of engineering staff. May perform time and motion studies on worker operations in a variety of industries for purposes such as establishing standard production rates or improving efficiency.	Engineering Technician, Industrial Engineering Analyst, Industrial Engineering Technician, Manufacturing Technician, Methods Engineer, Process Documentation and Methods Analyst, Process Engineer, Process Technician, Production Staff Worker, Quality Control Engineering Technician (QC Engineering Technician)
Landscape Architects	Landscape Architects	Plan and design land areas for projects such as parks and other recreational facilities, airports, highways, hospitals, schools, land subdivisions, and commercial, industrial, and residential sites.	Designer, Director of Landscape Architecture and Planning, Golf Course Architect, Land Planner, Landscape Architect, Landscape Architect and Planner, Landscape Designer, Planner, Project Landscape Architect, Senior Landscape Architect
Mapping Technicians	Mapping Technicians	Calculate mapmaking information from field notes, and draw and verify accuracy of topographical maps.	Aerotriangulation Specialist, CAD Technician (Computer Aided Design Technician), Geospatial Analyst, Mapping Editor, Mapping Technician, Photogrammetric Compilation Specialist, Photogrammetric Stereo Compiler, Photogrammetric Technician, Stereoplotter Operator, Tax Map Technician
Surveying and Mapping Technicians	Surveying and Mapping Technicians	Perform surveying and mapping duties, usually under the direction of an engineer, surveyor, cartographer, or photogrammetrist to obtain data used for construction, mapmaking, boundary location, mining, or other purposes. May calculate mapmaking information and create maps from source data, such as surveying notes, aerial photography, satellite data, or other maps to show topographical features, political boundaries, and other features. May verify accuracy and completeness of maps.	none
Surveying Technicians	Surveying Technicians	Adjust and operate surveying instruments, such as the theodolite and electronic distance-measuring equipment, and compile notes, make sketches and enter data into computers.	Chainman, Engineering Assistant, Engineering Technician, Field Crew Chief, Instrument Man (I-Man), Instrument Operator, Rodman, Survey Crew Chief, Survey Party Chief, Survey Technician
Marine Architects	Marine Architects	Design and oversee construction and repair of marine craft and floating structures such as ships, barges, tugs, dredges, submarines, torpedoes, floats, and buoys. May confer with marine engineers.	Boat Builder, Designer, Engineering Specialist, Initial Design and Naval Architecture Supervisor, Marine Architect, Marine Structural Designer, Naval Architect, Naval Architect Specialist, Piping Designer, Structural Engineer
Marine Engineers	Marine Engineers	Design, develop, and take responsibility for the installation of ship machinery and related equipment including propulsion machines and power supply systems.	Consulting Marine Engineer, Hull Outfit Supervisor, Marine Consultant, Marine Design Engineer, Marine Engineer, Marine Engineering Consultant, Marine Surveyor, Project Engineer, Propulsion Machinery Service Engineer, Ships Equipment Engineer
Marine Engineers and Naval Architects	Marine Engineers and Naval Architects	Design, develop, and evaluate the operation of marine vessels, ship machinery, and related equipment, such as power supply and propulsion systems.	none
Materials Engineers	Materials Engineers	Evaluate materials and develop machinery and processes to manufacture materials for use in products that must meet specialized design and performance specifications. Develop new uses for known materials. Includes those engineers working with composite materials or specializing in one type of material, such as graphite, metal and metal alloys, ceramics and glass, plastics and polymers, and naturally occurring materials. Includes metallurgists and metallurgical engineers, ceramic engineers, and welding engineers.	Materials and Processes Manager, Materials Branch Chief, Materials Development Engineer, Materials Engineer, Materials Research Engineer, Metallurgical Engineer, Metallurgist, Process Engineer, Research Engineer, Test Engineer
Mechanical Drafters	Mechanical Drafters	Prepare detailed working diagrams of machinery and mechanical devices, including dimensions, fastening methods, and other engineering information.	CAD Designer (Computer Aided Design Designer), CAD Operator (Computer Aided Design Operator), CAD/CAM Specialist (Computer Aided Design/Computer Aided Manufacturing Specialist), Design Drafter, Designer, Drafter, Installation Drafter, Mechanical Designer, Mechanical Drafter, Project Designer
Mining and Geological Engineers, Including Mining Safety Engineers	Mining and Geological Engineers, Including Mining Safety Engineers	Conduct sub-surface surveys to identify the characteristics of potential land or mining development sites. May specify the ground support systems, processes and equipment for safe, economical, and environmentally sound extraction or underground construction activities. May inspect areas for unsafe geological conditions, equipment, and working conditions. May design, implement, and coordinate mine safety programs.	Engineer, Engineering Manager, Geologist, Mine Engineer, Mine Engineering Manager, Mine Engineering Superintendent, Mine Safety Manager, Mining Engineer, Planning Engineer, Project Engineer
Nuclear Engineers	Nuclear Engineers	Conduct research on nuclear engineering projects or apply principles and theory of nuclear science to problems concerned with release, control, and use of nuclear energy and nuclear waste disposal.	Criticality Safety Engineer, Engineer, Generation Engineer, Nuclear Design Engineer, Nuclear Engineer, Nuclear Licensing Engineer, Nuclear Reactor Engineer, Resident Inspector, Scientist, System Engineer
Petroleum Engineers	Petroleum Engineers	Devise methods to improve oil and gas extraction and production and determine the need for new or modified tool designs. Oversee drilling and offer technical advice.	Completion Engineer, Completions Engineer, Drilling Engineer, Drilling Manager, Engineer, Operations Engineer, Petroleum Engineer, Petroleum Production Engineer, Production Engineer, Reservoir Engineer
