	Code	Occupation_x	Job Family	Career Cluster	Career Pathway	Occupation_y	fullCode	SCode	word_tokens	Title	summary	sampleTitles	summary_tokens	sampleT_tokens
10	17-2141	Fuel Cell Engineers    	Architecture and Engineering	Science, Technology, Engineering & Mathematics	Engineering and Technology	Fuel Cell Engineers	17-2141.01	.01	['Fuel', 'Cell', 'Engineers']	Mechanical Engineers	Design, evaluate, modify, or construct fuel cell components or systems for transportation, stationary, or portable applications.	Director, Hydrogen Storage Engineering; Division Director; Engineering Professor; Professor of Chemical Engineering; Research Engineer; Scientist/Engineer; Senior Engineer; Senior Research Engineer; Senior Scientist; Senior Stack Engineer	['Design', 'evaluate', 'modify', 'or', 'construct', 'fuel', 'cell', 'components', 'or', 'systems', 'for', 'transportation', 'stationary', 'or', 'portable', 'applications']	['Director', 'Hydrogen', 'Storage', 'Engineering', 'Division', 'Director', 'Engineering', 'Professor', 'Professor', 'of', 'Chemical', 'Engineering', 'Research', 'Engineer', 'Scientist', 'Engineer', 'Senior', 'Engineer', 'Senior', 'Research', 'Engineer', 'Senior', 'Scientist', 'Senior', 'Stack', 'Engineer']
11	17-2141	Mechanical Engineers    	Architecture and Engineering	Science, Technology, Engineering & Mathematics	Engineering and Technology	Mechanical Engineers	17-2141.00	.00	['Mechanical', 'Engineers']	Mechanical Engineers	Perform engineering duties in planning and designing tools, engines, machines, and other mechanically functioning equipment. Oversee installation, operation, maintenance, and repair of equipment such as centralized heat, gas, water, and steam systems.	Application Engineer, Design Engineer, Design Maintenance Engineer, Equipment Engineer, Mechanical Design Engineer, Mechanical Engineer, Process Engineer, Product Engineer, Project Engineer, Test Engineer	['Perform', 'engineering', 'duties', 'in', 'planning', 'and', 'designing', 'tools', 'engines', 'machines', 'and', 'other', 'mechanically', 'functioning', 'equipment', 'Oversee', 'installation', 'operation', 'maintenance', 'and', 'repair', 'of', 'equipment', 'such', 'as', 'centralized', 'heat', 'gas', 'water', 'and', 'steam', 'systems']	['Application', 'Engineer', 'Design', 'Engineer', 'Design', 'Maintenance', 'Engineer', 'Equipment', 'Engineer', 'Mechanical', 'Design', 'Engineer', 'Mechanical', 'Engineer', 'Process', 'Engineer', 'Product', 'Engineer', 'Project', 'Engineer', 'Test', 'Engineer']
12	17-2199	Biochemical Engineers    	Architecture and Engineering	Science, Technology, Engineering & Mathematics	Engineering and Technology	Biochemical Engineers	17-2199.01	.01	['Biochemical', 'Engineers']	Engineers, All Other	Develop usable, tangible products, using knowledge of biology, chemistry, or engineering. Solve problems related to materials, systems, or processes that interact with humans, plants, animals, microorganisms, or biological materials.	Engineering Director, Process Engineer, Research Associate, Research Engineer, Research Fellow, Research Greenhouse Supervisor, Research Scientist, University Extension Specialist	['Develop', 'usable', 'tangible', 'products', 'using', 'knowledge', 'of', 'biology', 'chemistry', 'or', 'engineering', 'Solve', 'problems', 'related', 'to', 'materials', 'systems', 'or', 'processes', 'that', 'interact', 'with', 'humans', 'plants', 'animals', 'microorganisms', 'or', 'biological', 'materials']	['Engineering', 'Director', 'Process', 'Engineer', 'Research', 'Associate', 'Research', 'Engineer', 'Research', 'Fellow', 'Research', 'Greenhouse', 'Supervisor', 'Research', 'Scientist', 'University', 'Extension', 'Specialist']
13	17-2199	Energy Engineers    	Architecture and Engineering	Science, Technology, Engineering & Mathematics	Engineering and Technology	Energy Engineers	17-2199.03	.03	['Energy', 'Engineers']	Engineers, All Other	Design, develop, or evaluate energy-related projects or programs to reduce energy costs or improve energy efficiency during the designing, building, or remodeling stages of construction. May specialize in electrical systems; heating, ventilation, and air-conditioning (HVAC) systems; green buildings; lighting; air quality; or energy procurement.	Distributed Generation Project Manager, Energy Efficiency Engineer, Energy Engineer, Energy Manager, Environmental Solutions Engineer, Industrial Energy Engineer, Measurement And Verification Engineer, Project Engineering Director, Resource Efficiency Manager, Test and Balance Engineer	['Design', 'develop', 'or', 'evaluate', 'energy', 'related', 'projects', 'or', 'programs', 'to', 'reduce', 'energy', 'costs', 'or', 'improve', 'energy', 'efficiency', 'during', 'the', 'designing', 'building', 'or', 'remodeling', 'stages', 'of', 'construction', 'May', 'specialize', 'in', 'electrical', 'systems', 'heating', 'ventilation', 'and', 'air', 'conditioning', 'HVAC', 'systems', 'green', 'buildings', 'lighting', 'air', 'quality', 'or', 'energy', 'procurement']	['Distributed', 'Generation', 'Project', 'Manager', 'Energy', 'Efficiency', 'Engineer', 'Energy', 'Engineer', 'Energy', 'Manager', 'Environmental', 'Solutions', 'Engineer', 'Industrial', 'Energy', 'Engineer', 'Measurement', 'And', 'Verification', 'Engineer', 'Project', 'Engineering', 'Director', 'Resource', 'Efficiency', 'Manager', 'Test', 'and', 'Balance', 'Engineer']
14	17-2199	Engineers, All Other	Architecture and Engineering	Science, Technology, Engineering & Mathematics	Engineering and Technology	Engineers, All Other	17-2199.00	.00	['Engineers', 'All', 'Other']	Engineers, All Other	All engineers not listed separately.	cupations with a wide range of characteristics which do not fit into one of the detailed O*NET-SOC occupations. O*NET data is not available for this type of title.  For more detailed occupations under this title, see below. 	['All', 'engineers', 'not', 'listed', 'separately']	['cupations', 'with', 'a', 'wide', 'range', 'of', 'characteristics', 'which', 'do', 'not', 'fit', 'into', 'one', 'of', 'the', 'detailed', 'O', 'NET', 'SOC', 'occupations', 'O', 'NET', 'data', 'is', 'not', 'available', 'for', 'this', 'type', 'of', 'title', 'For', 'more', 'detailed', 'occupations', 'under', 'this', 'title', 'see', 'below']
15	17-2199	Manufacturing Engineers    	Architecture and Engineering	Science, Technology, Engineering & Mathematics	Engineering and Technology	Manufacturing Engineers	17-2199.04	.04	['Manufacturing', 'Engineers']	Engineers, All Other	Design, integrate, or improve manufacturing systems or related processes. May work with commercial or industrial designers to refine product designs to increase producibility and decrease costs.	Facility Engineer, Manufacturing Director, Manufacturing Engineer, Manufacturing Engineering Manager, Plant Engineer, Process Engineer	['Design', 'integrate', 'or', 'improve', 'manufacturing', 'systems', 'or', 'related', 'processes', 'May', 'work', 'with', 'commercial', 'or', 'industrial', 'designers', 'to', 'refine', 'product', 'designs', 'to', 'increase', 'producibility', 'and', 'decrease', 'costs']	['Facility', 'Engineer', 'Manufacturing', 'Director', 'Manufacturing', 'Engineer', 'Manufacturing', 'Engineering', 'Manager', 'Plant', 'Engineer', 'Process', 'Engineer']
16	17-2199	Mechatronics Engineers    	Architecture and Engineering	Science, Technology, Engineering & Mathematics	Engineering and Technology	Mechatronics Engineers	17-2199.05	.05	['Mechatronics', 'Engineers']	Engineers, All Other	Research, design, develop, or test automation, intelligent systems, smart devices, or industrial systems control.	Automation Engineer, Automation Specialist, Controls Engineer, Development Engineer, Equipment Engineer, Principal Engineer, Process Engineer, Project Engineer, Senior Design Engineer, Senior Project Engineer	['Research', 'design', 'develop', 'or', 'test', 'automation', 'intelligent', 'systems', 'smart', 'devices', 'or', 'industrial', 'systems', 'control']	['Automation', 'Engineer', 'Automation', 'Specialist', 'Controls', 'Engineer', 'Development', 'Engineer', 'Equipment', 'Engineer', 'Principal', 'Engineer', 'Process', 'Engineer', 'Project', 'Engineer', 'Senior', 'Design', 'Engineer', 'Senior', 'Project', 'Engineer']
17	17-2199	Microsystems Engineers    	Architecture and Engineering	Science, Technology, Engineering & Mathematics	Engineering and Technology	Microsystems Engineers	17-2199.06	.06	['Microsystems', 'Engineers']	Engineers, All Other	Research, design, develop, or test microelectromechanical systems (MEMS) devices.	Control Systems Engineer, MEMS Integration Engineer (Microelectrical Mechanical Integration Engineer), Microsystems Engineer, Process Engineer, Product Design Engineer, Project Design Engineer, Project Engineer, Radio Frequency Design Engineer (RF Design Engineer), System Engineer, Systems Engineer	['Research', 'design', 'develop', 'or', 'test', 'microelectromechanical', 'systems', 'MEMS', 'devices']	['Control', 'Systems', 'Engineer', 'MEMS', 'Integration', 'Engineer', 'Microelectrical', 'Mechanical', 'Integration', 'Engineer', 'Microsystems', 'Engineer', 'Process', 'Engineer', 'Product', 'Design', 'Engineer', 'Project', 'Design', 'Engineer', 'Project', 'Engineer', 'Radio', 'Frequency', 'Design', 'Engineer', 'RF', 'Design', 'Engineer', 'System', 'Engineer', 'Systems', 'Engineer']
18	17-2199	Nanosystems Engineers    	Architecture and Engineering	Science, Technology, Engineering & Mathematics	Engineering and Technology	Nanosystems Engineers	17-2199.09	.09	['Nanosystems', 'Engineers']	Engineers, All Other	Design, develop, or supervise the production of materials, devices, or systems of unique molecular or macromolecular composition, applying principles of nanoscale physics and electrical, chemical, or biological engineering.	Advanced Research Programs Director, Microarray Operations Vice President, Research Scientist, Scientist, Technical Programs Manager	['Design', 'develop', 'or', 'supervise', 'the', 'production', 'of', 'materials', 'devices', 'or', 'systems', 'of', 'unique', 'molecular', 'or', 'macromolecular', 'composition', 'applying', 'principles', 'of', 'nanoscale', 'physics', 'and', 'electrical', 'chemical', 'or', 'biological', 'engineering']	['Advanced', 'Research', 'Programs', 'Director', 'Microarray', 'Operations', 'Vice', 'President', 'Research', 'Scientist', 'Scientist', 'Technical', 'Programs', 'Manager']
19	17-2199	Photonics Engineers    	Architecture and Engineering	Science, Technology, Engineering & Mathematics	Engineering and Technology	Photonics Engineers	17-2199.07	.07	['Photonics', 'Engineers']	Engineers, All Other	Design technologies specializing in light information or light energy, such as laser or fiber optics technology.	Laser Engineer, Optical Design Engineer, Optical Engineer, Optical Engineering Manager, Optical Scientist, Optical Systems Engineer, Optoelectronics Engineer, Process Engineering and Metrology Manager, System Engineer, Technology Director	['Design', 'technologies', 'specializing', 'in', 'light', 'information', 'or', 'light', 'energy', 'such', 'as', 'laser', 'or', 'fiber', 'optics', 'technology']	['Laser', 'Engineer', 'Optical', 'Design', 'Engineer', 'Optical', 'Engineer', 'Optical', 'Engineering', 'Manager', 'Optical', 'Scientist', 'Optical', 'Systems', 'Engineer', 'Optoelectronics', 'Engineer', 'Process', 'Engineering', 'and', 'Metrology', 'Manager', 'System', 'Engineer', 'Technology', 'Director']
20	17-2199	Robotics Engineers    	Architecture and Engineering	Science, Technology, Engineering & Mathematics	Engineering and Technology	Robotics Engineers	17-2199.08	.08	['Robotics', 'Engineers']	Engineers, All Other	Research, design, develop, or test robotic applications.	Associate Professor of Automation, Automation Engineer, Engineer, Plant Floor Automation Manager	['Research', 'design', 'develop', 'or', 'test', 'robotic', 'applications']	['Associate', 'Professor', 'of', 'Automation', 'Automation', 'Engineer', 'Engineer', 'Plant', 'Floor', 'Automation', 'Manager']
21	17-2199	Solar Energy Systems Engineers    	Architecture and Engineering	Science, Technology, Engineering & Mathematics	Engineering and Technology	Solar Energy Systems Engineers	17-2199.11	.11	['Solar', 'Energy', 'Systems', 'Engineers']	Engineers, All Other	Perform site-specific engineering analysis or evaluation of energy efficiency and solar projects involving residential, commercial, or industrial customers. Design solar domestic hot water and space heating systems for new and existing structures, applying knowledge of structural energy requirements, local climates, solar technology, and thermodynamics.	Consulting Engineer, Distributed Energy Systems Consultant, Energy Systems Laboratory Director, Engineering Vice President, Field Engineer, Power Systems Engineer, Renewable Energy Division Manager, Research Engineer, Solar Engineer	['Perform', 'site', 'specific', 'engineering', 'analysis', 'or', 'evaluation', 'of', 'energy', 'efficiency', 'and', 'solar', 'projects', 'involving', 'residential', 'commercial', 'or', 'industrial', 'customers', 'Design', 'solar', 'domestic', 'hot', 'water', 'and', 'space', 'heating', 'systems', 'for', 'new', 'and', 'existing', 'structures', 'applying', 'knowledge', 'of', 'structural', 'energy', 'requirements', 'local', 'climates', 'solar', 'technology', 'and', 'thermodynamics']	['Consulting', 'Engineer', 'Distributed', 'Energy', 'Systems', 'Consultant', 'Energy', 'Systems', 'Laboratory', 'Director', 'Engineering', 'Vice', 'President', 'Field', 'Engineer', 'Power', 'Systems', 'Engineer', 'Renewable', 'Energy', 'Division', 'Manager', 'Research', 'Engineer', 'Solar', 'Engineer']
22	17-2199	Validation Engineers    	Architecture and Engineering	Science, Technology, Engineering & Mathematics	Engineering and Technology	Validation Engineers	17-2199.02	.02	['Validation', 'Engineers']	Engineers, All Other	Design or plan protocols for equipment or processes to produce products meeting internal and external purity, safety, and quality requirements.	Corporate Quality Engineer, Corporate Quality Manager, Quality and Reliability Engineer, Quality Assurance Engineer, Quality Coordinator, Quality Director, Quality Engineer, Quality Specialist, Supplier Quality Engineer, Validation Specialist	['Design', 'or', 'plan', 'protocols', 'for', 'equipment', 'or', 'processes', 'to', 'produce', 'products', 'meeting', 'internal', 'and', 'external', 'purity', 'safety', 'and', 'quality', 'requirements']	['Corporate', 'Quality', 'Engineer', 'Corporate', 'Quality', 'Manager', 'Quality', 'and', 'Reliability', 'Engineer', 'Quality', 'Assurance', 'Engineer', 'Quality', 'Coordinator', 'Quality', 'Director', 'Quality', 'Engineer', 'Quality', 'Specialist', 'Supplier', 'Quality', 'Engineer', 'Validation', 'Specialist']
23	17-2199	Wind Energy Engineers    	Architecture and Engineering	Science, Technology, Engineering & Mathematics	Engineering and Technology	Wind Energy Engineers	17-2199.10	.10	['Wind', 'Energy', 'Engineers']	Engineers, All Other	Design underground or overhead wind farm collector systems and prepare and develop site specifications.	Project Designer, Transmission and Distribution Engineering; Project Engineer; Senior Engineer/Practice Leader-Land Development and Engineering; Senior Project Engineer; Senior Wind Energy Consultant; Turbine Measurements Engineer; Utility Engineer; Wind Farm Siting and Development Consultant; Wind Science and Planning; Wind Turbine Design Engineer	['Design', 'underground', 'or', 'overhead', 'wind', 'farm', 'collector', 'systems', 'and', 'prepare', 'and', 'develop', 'site', 'specifications']	['Project', 'Designer', 'Transmission', 'and', 'Distribution', 'Engineering', 'Project', 'Engineer', 'Senior', 'Engineer', 'Practice', 'Leader', 'Land', 'Development', 'and', 'Engineering', 'Senior', 'Project', 'Engineer', 'Senior', 'Wind', 'Energy', 'Consultant', 'Turbine', 'Measurements', 'Engineer', 'Utility', 'Engineer', 'Wind', 'Farm', 'Siting', 'and', 'Development', 'Consultant', 'Wind', 'Science', 'and', 'Planning', 'Wind', 'Turbine', 'Design', 'Engineer']
24	17-2031	Biomedical Engineers  	Architecture and Engineering	Health Science	Biotechnology Research and Development	Biomedical Engineers	17-2031.00	.00	['Biomedical', 'Engineers']	Biomedical Engineers	Apply knowledge of engineering, biology, and biomechanical principles to the design, development, and evaluation of biological and health systems and products, such as artificial organs, prostheses, instrumentation, medical information systems, and health management and care delivery systems.	Biomedical Electronics Technician, Biomedical Engineer, Biomedical Engineering Director, Biomedical Engineering Technician, Biomedical Equipment Technician (BMET), Biomedical Manager, Biomedical Technician, Clinical Engineer, Professor, Research Engineer	['Apply', 'knowledge', 'of', 'engineering', 'biology', 'and', 'biomechanical', 'principles', 'to', 'the', 'design', 'development', 'and', 'evaluation', 'of', 'biological', 'and', 'health', 'systems', 'and', 'products', 'such', 'as', 'artificial', 'organs', 'prostheses', 'instrumentation', 'medical', 'information', 'systems', 'and', 'health', 'management', 'and', 'care', 'delivery', 'systems']	['Biomedical', 'Electronics', 'Technician', 'Biomedical', 'Engineer', 'Biomedical', 'Engineering', 'Director', 'Biomedical', 'Engineering', 'Technician', 'Biomedical', 'Equipment', 'Technician', 'BMET', 'Biomedical', 'Manager', 'Biomedical', 'Technician', 'Clinical', 'Engineer', 'Professor', 'Research', 'Engineer']
