OCC_CODE	OCC_TITLE	OCC_GROUP	TOT_EMP	EMP_PRSE	H_MEAN	A_MEAN	MEAN_PRSE	H_PCT10	H_PCT25	H_MEDIAN	H_PCT75	H_PCT90	A_PCT10	A_PCT25	A_MEDIAN	A_PCT75	A_PCT90	ANNUAL	HOURLY
11-3071	Transportation, Storage, and Distribution Managers	detailed	113270	1.1	46.94	97630	0.5	25.32	32.76	42.88	56.39	73.43	52670	68140	89190	117300	152730		
11-3110	Compensation and Benefits Managers	broad	15230	1.5	61.01	126900	0.6	31.80	41.89	55.89	75.03	96.13	66150	87120	116240	156050	199950		
11-3111	Compensation and Benefits Managers	detailed	15230	1.5	61.01	126900	0.6	31.80	41.89	55.89	75.03	96.13	66150	87120	116240	156050	199950		
11-3120	Human Resources Managers	broad	129810	0.6	57.79	120210	0.4	30.35	38.85	51.40	69.82	93.05	63140	80800	106910	145220	193550		
11-3121	Human Resources Managers	detailed	129810	0.6	57.79	120210	0.4	30.35	38.85	51.40	69.82	93.05	63140	80800	106910	145220	193550		
11-3130	Training and Development Managers	broad	32880	1.4	55.37	115180	0.6	27.77	37.52	50.88	66.95	88.94	57760	78050	105830	139260	184990		
11-3131	Training and Development Managers	detailed	32880	1.4	55.37	115180	0.6	27.77	37.52	50.88	66.95	88.94	57760	78050	105830	139260	184990		
11-9000	Other Management Occupations	minor	2267610	0.3	46.86	97480	0.2	20.43	29.12	42.03	58.69	77.66	42480	60570	87420	122070	161540		
11-9010	Farmers, Ranchers, and Other Agricultural Managers	broad	4560	4.8	36.44	75790	2.5	16.84	22.67	31.91	43.68	60.61	35020	47160	66360	90860	126070		
11-9013	Farmers, Ranchers, and Other Agricultural Managers	detailed	4560	4.8	36.44	75790	2.5	16.84	22.67	31.91	43.68	60.61	35020	47160	66360	90860	126070		
11-9020	Construction Managers	broad	249650	0.9	47.84	99510	0.4	25.84	32.72	42.93	57.56	76.12	53740	68050	89300	119710	158330		
11-9021	Construction Managers	detailed	249650	0.9	47.84	99510	0.4	25.84	32.72	42.93	57.56	76.12	53740	68050	89300	119710	158330		
11-9030	Education Administrators	broad	464070	0.5	44.79	93160	0.5	22.41	31.22	41.80	54.63	69.83	46620	64940	86950	113640	145250		
11-9031	Education Administrators, Preschool and Childcare Center/Program	detailed	48530	1.6	25.07	52150	0.9	14.05	17.16	22.01	29.45	39.81	29230	35690	45790	61250	82790		
11-9032	Education Administrators, Elementary and Secondary School	detailed	242970	0.6	*	95390	0.6	*	*	*	*	*	59910	73710	92510	114950	135770	TRUE	
11-9033	Education Administrators, Postsecondary	detailed	138430	1.1	50.85	105770	0.7	24.85	32.08	43.63	60.94	86.18	51690	66730	90760	126750	179250		
11-9039	Education Administrators, All Other	detailed	34140	1.6	40.58	84400	0.8	20.63	27.36	37.60	49.94	63.18	42910	56910	78210	103880	131410		
11-9040	Architectural and Engineering Managers	broad	178390	1.0	69.17	143870	0.5	41.34	51.94	64.78	80.43	99.71	86000	108040	134730	167290	207400		
11-9041	Architectural and Engineering Managers	detailed	178390	1.0	69.17	143870	0.5	41.34	51.94	64.78	80.43	99.71	86000	108040	134730	167290	207400		
11-9050	Food Service Managers	broad	201470	1.6	26.93	56010	0.8	14.08	18.40	24.43	32.21	41.89	29290	38260	50820	66990	87120		
11-9051	Food Service Managers	detailed	201470	1.6	26.93	56010	0.8	14.08	18.40	24.43	32.21	41.89	29290	38260	50820	66990	87120		
11-9060	Funeral Service Managers	broad	8370	4.2	42.78	88970	2.9	18.87	26.42	35.50	50.36	71.15	39240	54950	73830	104760	147990		
11-9061	Funeral Service Managers	detailed	8370	4.2	42.78	88970	2.9	18.87	26.42	35.50	50.36	71.15	39240	54950	73830	104760	147990		
11-9070	Gaming Managers	broad	4280	3.5	38.31	79690	1.2	21.07	25.94	33.26	44.55	59.81	43830	53950	69180	92670	124400		
11-9071	Gaming Managers	detailed	4280	3.5	38.31	79690	1.2	21.07	25.94	33.26	44.55	59.81	43830	53950	69180	92670	124400		
11-9080	Lodging Managers	broad	35410	2.2	28.56	59410	1.1	13.88	18.04	24.93	33.92	46.43	28870	37520	51840	70540	96570		
11-9081	Lodging Managers	detailed	35410	2.2	28.56	59410	1.1	13.88	18.04	24.93	33.92	46.43	28870	37520	51840	70540	96570		
11-9110	Medical and Health Services Managers	broad	332150	0.6	52.58	109370	0.3	27.39	35.44	46.41	61.07	82.81	56970	73710	96540	127030	172240		
11-9111	Medical and Health Services Managers	detailed	332150	0.6	52.58	109370	0.3	27.39	35.44	46.41	61.07	82.81	56970	73710	96540	127030	172240		
11-9120	Natural Sciences Managers	broad	54780	2.2	65.46	136150	1.4	32.17	44.27	57.62	77.40	#	66920	92070	119850	160990	#		
11-9121	Natural Sciences Managers	detailed	54780	2.2	65.46	136150	1.4	32.17	44.27	57.62	77.40	#	66920	92070	119850	160990	#		
11-9130	Postmasters and Mail Superintendents	broad	14720	0.0	34.61	71980	0.1	27.01	30.41	34.45	39.35	43.23	56190	63250	71670	81840	89930		
11-9131	Postmasters and Mail Superintendents	detailed	14720	0.0	34.61	71980	0.1	27.01	30.41	34.45	39.35	43.23	56190	63250	71670	81840	89930		
11-9140	Property, Real Estate, and Community Association Managers	broad	180290	1.1	33.79	70290	0.8	13.59	19.19	27.42	39.96	60.76	28260	39910	57040	83110	126390		
11-9141	Property, Real Estate, and Community Association Managers	detailed	180290	1.1	33.79	70290	0.8	13.59	19.19	27.42	39.96	60.76	28260	39910	57040	83110	126390		
11-9150	Social and Community Service Managers	broad	126230	0.8	34.07	70870	0.4	19.12	24.05	31.10	40.98	53.35	39770	50030	64680	85230	110970		
11-9151	Social and Community Service Managers	detailed	126230	0.8	34.07	70870	0.4	19.12	24.05	31.10	40.98	53.35	39770	50030	64680	85230	110970		
11-9160	Emergency Management Directors	broad	9570	1.8	37.53	78060	1.2	17.67	24.12	33.89	47.69	64.37	36760	50160	70500	99200	133880		
11-9161	Emergency Management Directors	detailed	9570	1.8	37.53	78060	1.2	17.67	24.12	33.89	47.69	64.37	36760	50160	70500	99200	133880		
11-9190	Miscellaneous Managers	broad	403670	0.6	53.92	112150	0.3	25.41	36.40	50.47	65.97	82.97	52860	75710	104970	137220	172570		
11-9199	Managers, All Other	detailed	403670	0.6	53.92	112150	0.3	25.41	36.40	50.47	65.97	82.97	52860	75710	104970	137220	172570		
13-0000	Business and Financial Operations Occupations	major	7281190	0.2	36.09	75070	0.2	17.74	23.78	31.99	43.47	58.13	36910	49460	66530	90410	120910		
13-1000	Business Operations Specialists	minor	4629810	0.3	34.54	71840	0.2	17.35	23.27	31.37	42.23	55.19	36100	48400	65260	87840	114790		
13-1010	Agents and Business Managers of Artists, Performers, and Athletes	broad	13470	7.3	41.62	86560	4.0	13.12	19.02	29.85	47.11	93.66	27290	39560	62080	97990	194810		
13-1011	Agents and Business Managers of Artists, Performers, and Athletes	detailed	13470	7.3	41.62	86560	4.0	13.12	19.02	29.85	47.11	93.66	27290	39560	62080	97990	194810		
13-1020	Buyers and Purchasing Agents	broad	418530	0.6	31.44	65390	0.3	17.03	22.02	29.18	38.50	48.71	35430	45810	60700	80080	101320		
13-1021	Buyers and Purchasing Agents, Farm Products	detailed	11490	3.4	30.73	63910	1.7	15.54	20.83	28.09	37.14	49.23	32330	43320	58430	77250	102410		
13-1022	Wholesale and Retail Buyers, Except Farm Products	detailed	109440	1.8	28.87	60040	0.8	14.48	18.99	25.65	34.82	47.03	30110	39510	53340	72430	97830		
13-1023	Purchasing Agents, Except Wholesale, Retail, and Farm Products	detailed	297600	0.5	32.41	67420	0.2	18.56	23.39	30.43	39.59	48.93	38600	48650	63300	82340	101770		
13-1030	Claims Adjusters, Appraisers, Examiners, and Investigators	broad	289550	1.3	31.27	65040	0.6	18.19	23.21	30.61	37.96	46.02	37840	48270	63670	78950	95720		
13-1031	Claims Adjusters, Examiners, and Investigators	detailed	274420	1.3	31.24	64990	0.7	18.05	23.09	30.62	37.97	46.04	37540	48020	63680	78980	95760		
13-1032	Insurance Appraisers, Auto Damage	detailed	15130	4.5	31.70	65930	1.0	20.55	25.18	30.53	37.77	45.67	42740	52380	63510	78560	95000		
13-1040	Compliance Officers	broad	273910	0.7	33.77	70250	0.5	18.09	23.64	31.99	41.64	50.61	37630	49160	66540	86620	105260		
13-1041	Compliance Officers	detailed	273910	0.7	33.77	70250	0.5	18.09	23.64	31.99	41.64	50.61	37630	49160	66540	86620	105260		
13-1050	Cost Estimators	broad	214610	0.8	32.03	66620	0.3	17.25	22.75	29.71	38.74	49.64	35870	47330	61790	80570	103250		
13-1051	Cost Estimators	detailed	214610	0.8	32.03	66620	0.3	17.25	22.75	29.71	38.74	49.64	35870	47330	61790	80570	103250		
13-1070	Human Resources Workers	broad	605040	0.5	31.14	64780	0.3	15.92	21.18	28.58	38.15	49.43	33110	44050	59440	79360	102820		
13-1071	Human Resources Specialists	detailed	524800	0.5	31.20	64890	0.2	16.72	21.45	28.45	37.72	48.76	34770	44620	59180	78460	101420		
13-1074	Farm Labor Contractors	detailed	810	23.4	22.74	47290	9.0	8.71	10.23	16.90	28.97	45.85	18120	21280	35160	60260	95360		
13-1075	Labor Relations Specialists	detailed	79430	1.8	30.89	64250	1.4	8.88	16.42	29.96	41.84	54.97	18480	34160	62310	87020	114340		
13-1080	Logisticians	broad	146060	1.1	37.41	77810	0.3	21.82	27.65	35.66	45.66	56.40	45380	57520	74170	94980	117310		
13-1081	Logisticians	detailed	146060	1.1	37.41	77810	0.3	21.82	27.65	35.66	45.66	56.40	45380	57520	74170	94980	117310		
13-1110	Management Analysts	broad	637690	0.9	44.19	91910	0.4	22.38	29.30	39.10	52.49	71.98	46560	60950	81330	109170	149720		
13-1111	Management Analysts	detailed	637690	0.9	44.19	91910	0.4	22.38	29.30	39.10	52.49	71.98	46560	60950	81330	109170	149720		
13-1120	Meeting, Convention, and Event Planners	broad	95850	1.5	25.01	52020	0.9	12.34	16.72	22.76	30.36	39.92	25670	34790	47350	63140	83030		
13-1121	Meeting, Convention, and Event Planners	detailed	95850	1.5	25.01	52020	0.9	12.34	16.72	22.76	30.36	39.92	25670	34790	47350	63140	83030		
13-1130	Fundraisers	broad	68910	1.4	27.85	57930	0.6	15.31	19.81	26.02	34.45	44.01	31850	41190	54130	71660	91530		
13-1131	Fundraisers	detailed	68910	1.4	27.85	57930	0.6	15.31	19.81	26.02	34.45	44.01	31850	41190	54130	71660	91530		
13-1140	Compensation, Benefits, and Job Analysis Specialists	broad	79190	1.2	31.97	66490	0.4	18.80	23.28	29.85	38.08	48.57	39090	48420	62080	79220	101020		
13-1141	Compensation, Benefits, and Job Analysis Specialists	detailed	79190	1.2	31.97	66490	0.4	18.80	23.28	29.85	38.08	48.57	39090	48420	62080	79220	101020		
13-1150	Training and Development Specialists	broad	269710	1.1	30.46	63350	0.3	15.58	20.65	28.37	38.12	48.56	32410	42950	59020	79280	101010		
13-1151	Training and Development Specialists	detailed	269710	1.1	30.46	63350	0.3	15.58	20.65	28.37	38.12	48.56	32410	42950	59020	79280	101010		
13-1160	Market Research Analysts and Marketing Specialists	broad	558630	0.8	33.95	70620	0.5	16.32	21.90	30.08	42.44	58.52	33950	45550	62560	88260	121720		
13-1161	Market Research Analysts and Marketing Specialists	detailed	558630	0.8	33.95	70620	0.5	16.32	21.90	30.08	42.44	58.52	33950	45550	62560	88260	121720		
13-1190	Miscellaneous Business Operations Specialists	broad	958670	0.5	35.99	74870	0.3	18.28	24.75	33.19	44.27	56.97	38020	51480	69040	92080	118500		
13-1199	Business Operations Specialists, All Other	detailed	958670	0.5	35.99	74870	0.3	18.28	24.75	33.19	44.27	56.97	38020	51480	69040	92080	118500		
13-2000	Financial Specialists	minor	2651370	0.4	38.80	80700	0.3	18.61	24.76	33.07	45.64	63.36	38700	51510	68780	94940	131800		
13-2010	Accountants and Auditors	broad	1246540	0.6	36.89	76730	0.4	20.26	25.60	32.76	43.59	58.13	42140	53240	68150	90670	120910		
13-2011	Accountants and Auditors	detailed	1246540	0.6	36.89	76730	0.4	20.26	25.60	32.76	43.59	58.13	42140	53240	68150	90670	120910		
13-2020	Appraisers and Assessors of Real Estate	broad	60770	2.6	27.90	58030	1.2	13.01	18.03	24.93	35.13	46.69	27060	37490	51850	73080	97120		
13-2021	Appraisers and Assessors of Real Estate	detailed	60770	2.6	27.90	58030	1.2	13.01	18.03	24.93	35.13	46.69	27060	37490	51850	73080	97120		
13-2030	Budget Analysts	broad	54700	1.1	37.10	77170	0.4	23.22	28.30	35.50	44.66	53.58	48300	58860	73840	92890	111460		
13-2031	Budget Analysts	detailed	54700	1.1	37.10	77170	0.4	23.22	28.30	35.50	44.66	53.58	48300	58860	73840	92890	111460		
13-2040	Credit Analysts	broad	72930	1.9	39.02	81160	0.9	19.64	25.25	33.62	46.59	66.21	40860	52510	69930	96910	137730		
13-2041	Credit Analysts	detailed	72930	1.9	39.02	81160	0.9	19.64	25.25	33.62	46.59	66.21	40860	52510	69930	96910	137730		
13-2050	Financial Analysts and Advisors	broad	575110	0.9	49.54	103050	0.7	21.49	28.27	38.91	57.59	94.91	44690	58800	80940	119780	197410		
13-2051	Financial Analysts	detailed	281610	1.3	46.94	97640	1.0	24.21	30.11	39.31	53.73	79.38	50350	62640	81760	111760	165100		
13-2052	Personal Financial Advisors	detailed	201850	1.4	59.18	123100	1.0	19.79	27.63	43.53	77.16	#	41160	57460	90530	160490	#		
13-2053	Insurance Underwriters	detailed	91650	2.3	36.29	75480	0.8	19.31	24.66	32.54	44.12	58.38	40160	51290	67680	91780	121430		
13-2060	Financial Examiners	broad	49750	1.7	42.76	88940	1.1	22.31	28.75	38.11	52.48	71.34	46400	59810	79280	109160	148390		
13-2061	Financial Examiners	detailed	49750	1.7	42.76	88940	1.1	22.31	28.75	38.11	52.48	71.34	46400	59810	79280	109160	148390		
13-2070	Credit Counselors and Loan Officers	broad	339800	1.1	35.37	73570	0.5	15.53	20.81	29.34	42.87	61.85	32310	43270	61030	89160	128660		
13-2071	Credit Counselors	detailed	34110	4.7	23.79	49480	1.3	14.19	17.10	21.34	27.15	36.17	29510	35570	44380	56470	75220		
13-2072	Loan Officers	detailed	305700	1.1	36.67	76260	0.5	15.78	21.68	30.60	44.53	63.60	32820	45100	63650	92610	132290		
13-2080	Tax Examiners, Collectors and Preparers, and Revenue Agents	broad	128480	1.6	24.56	51080	1.0	10.49	14.69	21.78	30.88	43.48	21820	30560	45300	64240	90430		
13-2081	Tax Examiners and Collectors, and Revenue Agents	detailed	58450	0.3	27.86	57950	0.3	15.32	19.27	25.03	34.66	46.85	31860	40090	52060	72090	97440		
13-2082	Tax Preparers	detailed	70030	2.8	21.80	45340	1.7	9.42	11.80	17.57	27.83	38.58	19600	24550	36550	57880	80250		
13-2090	Miscellaneous Financial Specialists	broad	123270	1.2	36.65	76230	0.6	18.75	24.98	33.40	44.38	57.10	39000	51950	69470	92310	118780		
13-2099	Financial Specialists, All Other	detailed	123270	1.2	36.65	76230	0.6	18.75	24.98	33.40	44.38	57.10	39000	51950	69470	92310	118780		
15-0000	Computer and Mathematical Occupations	major	4165140	0.4	42.25	87880	0.4	20.51	28.42	39.82	53.70	67.91	42650	59120	82830	111690	141250		
15-1100	Computer Occupations	minor	3997370	0.4	42.24	87870	0.4	20.46	28.41	39.84	53.73	67.91	42560	59090	82860	111770	141260		
15-1110	Computer and Information Research Scientists	broad	26580	4.1	55.92	116320	1.4	31.23	42.02	53.77	67.52	81.58	64950	87400	111840	140430	169680		
15-1111	Computer and Information Research Scientists	detailed	26580	4.1	55.92	116320	1.4	31.23	42.02	53.77	67.52	81.58	64950	87400	111840	140430	169680		
15-1120	Computer and Information Analysts	broad	665830	1.0	44.36	92260	0.3	25.57	32.58	42.29	54.03	67.09	53190	67770	87960	112390	139540		
15-1121	Computer Systems Analysts	detailed	568960	1.0	44.05	91620	0.3	25.53	32.43	41.93	53.38	66.20	53110	67460	87220	111040	137690		
15-1122	Information Security Analysts	detailed	96870	2.4	46.17	96040	0.6	25.85	33.58	44.52	57.22	70.81	53760	69840	92600	119020	147290		
15-1130	Software Developers and Programmers	broad	1604570	0.9	48.11	100080	0.6	25.63	34.33	46.07	59.74	74.67	53300	71410	95830	124260	155310		
15-1131	Computer Programmers	detailed	271200	1.7	40.95	85180	0.9	21.91	29.38	38.39	49.85	62.67	45570	61100	79840	103690	130360		
15-1132	Software Developers, Applications	detailed	794000	1.3	50.14	104300	0.8	28.03	36.62	48.12	61.03	75.77	58300	76170	100080	126940	157590		
15-1133	Software Developers, Systems Software	detailed	409820	1.3	53.17	110590	0.7	31.08	40.03	51.38	64.41	78.47	64650	83270	106860	133970	163220		
15-1134	Web Developers	detailed	129540	1.4	34.69	72150	0.7	17.01	22.87	31.79	44.04	57.48	35390	47580	66130	91600	119550		
15-1140	Database and Systems Administrators and Network Architects	broad	647610	0.7	43.15	89750	0.2	24.06	30.92	40.85	53.58	65.85	50040	64320	84970	111460	136970		
15-1141	Database Administrators	detailed	113730	1.0	41.89	87130	0.3	22.74	29.97	40.84	52.86	62.47	47300	62350	84950	109940	129930		
15-1142	Network and Computer Systems Administrators	detailed	376820	0.8	40.63	84500	0.3	23.50	29.75	38.32	49.23	61.35	48870	61870	79700	102400	127610		
15-1143	Computer Network Architects	detailed	157070	1.5	50.12	104240	0.5	26.74	36.04	48.66	61.93	76.25	55610	74970	101210	128820	158590		
15-1150	Computer Support Specialists	broad	791580	0.7	27.21	56600	0.3	14.94	19.08	25.08	33.23	43.70	31070	39680	52160	69120	90890		
15-1151	Computer User Support Specialists	detailed	602840	0.7	25.53	53100	0.3	14.15	18.18	23.74	30.64	39.50	29440	37810	49390	63740	82160		
15-1152	Computer Network Support Specialists	detailed	188740	1.3	32.58	67770	0.4	17.81	22.86	30.13	39.69	50.92	37040	47550	62670	82560	105910		
15-1190	Miscellaneous Computer Occupations	broad	261210	0.9	42.73	88880	0.4	21.83	31.10	41.59	53.17	64.37	45410	64690	86510	110590	133890		
15-1199	Computer Occupations, All Other	detailed	261210	0.9	42.73	88880	0.4	21.83	31.10	41.59	53.17	64.37	45410	64690	86510	110590	133890		
15-2000	Mathematical Science Occupations	minor	167770	1.7	42.42	88230	0.5	21.54	28.66	39.30	52.78	67.74	44810	59620	81750	109780	140900		
15-2010	Actuaries	broad	19940	3.5	54.87	114120	1.3	28.32	35.81	48.37	67.40	89.54	58910	74480	100610	140190	186250		
15-2011	Actuaries	detailed	19940	3.5	54.87	114120	1.3	28.32	35.81	48.37	67.40	89.54	58910	74480	100610	140190	186250		
15-2020	Mathematicians	broad	2730	5.1	50.77	105600	1.7	26.39	34.83	50.87	62.37	77.07	54890	72440	105810	129730	160310		
15-2021	Mathematicians	detailed	2730	5.1	50.77	105600	1.7	26.39	34.83	50.87	62.37	77.07	54890	72440	105810	129730	160310		
15-2030	Operations Research Analysts	broad	109150	2.4	40.55	84340	0.7	20.87	27.60	38.08	50.68	63.78	43400	57400	79200	105410	132660		
15-2031	Operations Research Analysts	detailed	109150	2.4	40.55	84340	0.7	20.87	27.60	38.08	50.68	63.78	43400	57400	79200	105410	132660		
15-2040	Statisticians	broad	33440	1.9	40.94	85160	1.0	22.35	29.22	38.70	50.20	62.54	46500	60770	80500	104420	130090		
15-2041	Statisticians	detailed	33440	1.9	40.94	85160	1.0	22.35	29.22	38.70	50.20	62.54	46500	60770	80500	104420	130090		
15-2090	Miscellaneous Mathematical Science Occupations	broad	2510	9.3	35.44	73700	2.8	13.89	17.70	28.98	46.73	72.68	28890	36810	60290	97200	151170		
15-2091	Mathematical Technicians	detailed	510	8.0	28.12	58490	4.9	13.93	17.50	23.87	30.61	48.43	28980	36410	49660	63670	100730		
15-2099	Mathematical Science Occupations, All Other	detailed	2000	11.3	37.28	77550	3.0	13.89	17.84	31.27	50.18	75.77	28890	37110	65050	104370	157600		
17-0000	Architecture and Engineering Occupations	major	2499050	0.6	40.53	84300	0.3	20.46	27.66	37.45	50.06	64.15	42550	57540	77900	104130	133440		
17-1000	Architects, Surveyors, and Cartographers	minor	174720	1.2	36.66	76260	0.6	19.67	25.54	33.66	44.55	57.09	40910	53110	70010	92670	118750		
17-1010	Architects, Except Naval	broad	119280	1.6	39.39	81920	0.8	21.49	27.46	35.98	47.05	60.90	44700	57120	74850	97870	126680		
17-1011	Architects, Except Landscape and Naval	detailed	99860	1.9	40.61	84470	0.8	22.40	28.36	36.99	47.98	62.41	46600	59000	76930	99790	129810		
17-1012	Landscape Architects	detailed	19420	4.7	33.08	68820	1.5	18.72	23.55	30.52	40.16	51.33	38950	48990	63480	83530	106770		
17-1020	Surveyors, Cartographers, and Photogrammetrists	broad	55440	1.5	30.80	64070	0.6	16.67	21.84	28.94	38.02	47.44	34670	45420	60200	79080	98680		
17-1021	Cartographers and Photogrammetrists	detailed	12100	2.5	31.81	66160	0.7	19.11	23.61	30.17	38.40	47.98	39740	49100	62750	79870	99800		
17-1022	Surveyors	detailed	43340	1.8	30.52	63480	0.7	16.17	21.32	28.56	37.89	47.29	33630	44350	59390	78800	98360		
17-2000	Engineers	minor	1635420	0.7	46.37	96440	0.3	26.76	33.75	43.75	56.42	70.99	55670	70190	91010	117350	147670		
17-2010	Aerospace Engineers	broad	68510	2.5	53.85	112010	0.7	33.24	41.11	52.72	64.91	77.06	69150	85500	109650	135020	160290		
17-2011	Aerospace Engineers	detailed	68510	2.5	53.85	112010	0.7	33.24	41.11	52.72	64.91	77.06	69150	85500	109650	135020	160290		
17-2020	Agricultural Engineers	broad	1980	7.1	37.18	77330	1.6	21.88	28.12	35.40	44.39	56.31	45510	58500	73640	92330	117130		
17-2021	Agricultural Engineers	detailed	1980	7.1	37.18	77330	1.6	21.88	28.12	35.40	44.39	56.31	45510	58500	73640	92330	117130		
17-2030	Biomedical Engineers	broad	20590	4.1	43.25	89970	0.9	24.54	31.59	41.16	51.85	64.72	51050	65700	85620	107850	134620		
17-2031	Biomedical Engineers	detailed	20590	4.1	43.25	89970	0.9	24.54	31.59	41.16	51.85	64.72	51050	65700	85620	107850	134620		
17-2040	Chemical Engineers	broad	31990	2.8	50.68	105420	0.8	29.22	36.73	47.28	60.60	76.34	60770	76390	98340	126050	158800		
17-2041	Chemical Engineers	detailed	31990	2.8	50.68	105420	0.8	29.22	36.73	47.28	60.60	76.34	60770	76390	98340	126050	158800		
17-2050	Civil Engineers	broad	287800	1.1	43.14	89730	0.4	25.71	31.41	40.16	51.51	63.89	53470	65330	83540	107140	132880		
17-2051	Civil Engineers	detailed	287800	1.1	43.14	89730	0.4	25.71	31.41	40.16	51.51	63.89	53470	65330	83540	107140	132880		
17-2060	Computer Hardware Engineers	broad	72950	4.9	57.07	118700	1.4	32.15	42.45	55.33	70.24	82.70	66870	88290	115080	146110	172010		
17-2061	Computer Hardware Engineers	detailed	72950	4.9	57.07	118700	1.4	32.15	42.45	55.33	70.24	82.70	66870	88290	115080	146110	172010		
17-2070	Electrical and Electronics Engineers	broad	315870	1.2	48.45	100770	0.4	29.44	36.32	46.28	58.48	73.08	61240	75550	96270	121640	152000		
17-2071	Electrical Engineers	detailed	183770	1.3	47.41	98620	0.4	28.71	35.54	45.29	57.54	71.65	59720	73910	94210	119690	149040		
17-2072	Electronics Engineers, Except Computer	detailed	132100	2.3	49.89	103760	0.5	30.65	37.54	47.70	59.63	74.68	63760	78070	99210	124030	155330		
