OCC_CODE	OCC_TITLE	OCC_GROUP	TOT_EMP	EMP_PRSE	H_MEAN	A_MEAN	MEAN_PRSE	H_PCT10	H_PCT25	H_MEDIAN	H_PCT75	H_PCT90	A_PCT10	A_PCT25	A_MEDIAN	A_PCT75	A_PCT90	ANNUAL	HOURLY
11-3060	Purchasing Managers	broad	71,750	0.9	56.60	117,720	0.4	30.47	39.85	53.65	68.67	85.37	63,380	82,880	111,590	142,820	177,560		
11-3061	Purchasing Managers	detailed	71,750	0.9	56.60	117,720	0.4	30.47	39.85	53.65	68.67	85.37	63,380	82,880	111,590	142,820	177,560		
11-3070	Transportation, Storage, and Distribution Managers	broad	113,270	1.1	46.94	97,630	0.5	25.32	32.76	42.88	56.39	73.43	52,670	68,140	89,190	117,300	152,730		
11-3071	Transportation, Storage, and Distribution Managers	detailed	113,270	1.1	46.94	97,630	0.5	25.32	32.76	42.88	56.39	73.43	52,670	68,140	89,190	117,300	152,730		
11-3110	Compensation and Benefits Managers	broad	15,230	1.5	61.01	126,900	0.6	31.80	41.89	55.89	75.03	96.13	66,150	87,120	116,240	156,050	199,950		
11-3111	Compensation and Benefits Managers	detailed	15,230	1.5	61.01	126,900	0.6	31.80	41.89	55.89	75.03	96.13	66,150	87,120	116,240	156,050	199,950		
11-3120	Human Resources Managers	broad	129,810	0.6	57.79	120,210	0.4	30.35	38.85	51.40	69.82	93.05	63,140	80,800	106,910	145,220	193,550		
11-3121	Human Resources Managers	detailed	129,810	0.6	57.79	120,210	0.4	30.35	38.85	51.40	69.82	93.05	63,140	80,800	106,910	145,220	193,550		
11-3130	Training and Development Managers	broad	32,880	1.4	55.37	115,180	0.6	27.77	37.52	50.88	66.95	88.94	57,760	78,050	105,830	139,260	184,990		
11-3131	Training and Development Managers	detailed	32,880	1.4	55.37	115,180	0.6	27.77	37.52	50.88	66.95	88.94	57,760	78,050	105,830	139,260	184,990		
11-9000	Other Management Occupations	minor	2,267,610	0.3	46.86	97,480	0.2	20.43	29.12	42.03	58.69	77.66	42,480	60,570	87,420	122,070	161,540		
11-9010	Farmers, Ranchers, and Other Agricultural Managers	broad	4,560	4.8	36.44	75,790	2.5	16.84	22.67	31.91	43.68	60.61	35,020	47,160	66,360	90,860	126,070		
11-9013	Farmers, Ranchers, and Other Agricultural Managers	detailed	4,560	4.8	36.44	75,790	2.5	16.84	22.67	31.91	43.68	60.61	35,020	47,160	66,360	90,860	126,070		
11-9020	Construction Managers	broad	249,650	0.9	47.84	99,510	0.4	25.84	32.72	42.93	57.56	76.12	53,740	68,050	89,300	119,710	158,330		
11-9021	Construction Managers	detailed	249,650	0.9	47.84	99,510	0.4	25.84	32.72	42.93	57.56	76.12	53,740	68,050	89,300	119,710	158,330		
11-9030	Education Administrators	broad	464,070	0.5	44.79	93,160	0.5	22.41	31.22	41.80	54.63	69.83	46,620	64,940	86,950	113,640	145,250		
11-9031	Education Administrators, Preschool and Childcare Center/Program	detailed	48,530	1.6	25.07	52,150	0.9	14.05	17.16	22.01	29.45	39.81	29,230	35,690	45,790	61,250	82,790		
11-9032	Education Administrators, Elementary and Secondary School	detailed	242,970	0.6	*	95,390	0.6	*	*	*	*	*	59,910	73,710	92,510	114,950	135,770	TRUE	
11-9033	Education Administrators, Postsecondary	detailed	138,430	1.1	50.85	105,770	0.7	24.85	32.08	43.63	60.94	86.18	51,690	66,730	90,760	126,750	179,250		
11-9039	Education Administrators, All Other	detailed	34,140	1.6	40.58	84,400	0.8	20.63	27.36	37.60	49.94	63.18	42,910	56,910	78,210	103,880	131,410		
11-9040	Architectural and Engineering Managers	broad	178,390	1.0	69.17	143,870	0.5	41.34	51.94	64.78	80.43	99.71	86,000	108,040	134,730	167,290	207,400		
11-9041	Architectural and Engineering Managers	detailed	178,390	1.0	69.17	143,870	0.5	41.34	51.94	64.78	80.43	99.71	86,000	108,040	134,730	167,290	207,400		
11-9050	Food Service Managers	broad	201,470	1.6	26.93	56,010	0.8	14.08	18.40	24.43	32.21	41.89	29,290	38,260	50,820	66,990	87,120		
11-9051	Food Service Managers	detailed	201,470	1.6	26.93	56,010	0.8	14.08	18.40	24.43	32.21	41.89	29,290	38,260	50,820	66,990	87,120		
11-9060	Funeral Service Managers	broad	8,370	4.2	42.78	88,970	2.9	18.87	26.42	35.50	50.36	71.15	39,240	54,950	73,830	104,760	147,990		
11-9061	Funeral Service Managers	detailed	8,370	4.2	42.78	88,970	2.9	18.87	26.42	35.50	50.36	71.15	39,240	54,950	73,830	104,760	147,990		
11-9070	Gaming Managers	broad	4,280	3.5	38.31	79,690	1.2	21.07	25.94	33.26	44.55	59.81	43,830	53,950	69,180	92,670	124,400		
11-9071	Gaming Managers	detailed	4,280	3.5	38.31	79,690	1.2	21.07	25.94	33.26	44.55	59.81	43,830	53,950	69,180	92,670	124,400		
11-9080	Lodging Managers	broad	35,410	2.2	28.56	59,410	1.1	13.88	18.04	24.93	33.92	46.43	28,870	37,520	51,840	70,540	96,570		
11-9081	Lodging Managers	detailed	35,410	2.2	28.56	59,410	1.1	13.88	18.04	24.93	33.92	46.43	28,870	37,520	51,840	70,540	96,570		
11-9110	Medical and Health Services Managers	broad	332,150	0.6	52.58	109,370	0.3	27.39	35.44	46.41	61.07	82.81	56,970	73,710	96,540	127,030	172,240		
11-9111	Medical and Health Services Managers	detailed	332,150	0.6	52.58	109,370	0.3	27.39	35.44	46.41	61.07	82.81	56,970	73,710	96,540	127,030	172,240		
11-9120	Natural Sciences Managers	broad	54,780	2.2	65.46	136,150	1.4	32.17	44.27	57.62	77.40	#	66,920	92,070	119,850	160,990	#		
11-9121	Natural Sciences Managers	detailed	54,780	2.2	65.46	136,150	1.4	32.17	44.27	57.62	77.40	#	66,920	92,070	119,850	160,990	#		
11-9130	Postmasters and Mail Superintendents	broad	14,720	0.0	34.61	71,980	0.1	27.01	30.41	34.45	39.35	43.23	56,190	63,250	71,670	81,840	89,930		
11-9131	Postmasters and Mail Superintendents	detailed	14,720	0.0	34.61	71,980	0.1	27.01	30.41	34.45	39.35	43.23	56,190	63,250	71,670	81,840	89,930		
11-9140	Property, Real Estate, and Community Association Managers	broad	180,290	1.1	33.79	70,290	0.8	13.59	19.19	27.42	39.96	60.76	28,260	39,910	57,040	83,110	126,390		
11-9141	Property, Real Estate, and Community Association Managers	detailed	180,290	1.1	33.79	70,290	0.8	13.59	19.19	27.42	39.96	60.76	28,260	39,910	57,040	83,110	126,390		
11-9150	Social and Community Service Managers	broad	126,230	0.8	34.07	70,870	0.4	19.12	24.05	31.10	40.98	53.35	39,770	50,030	64,680	85,230	110,970		
11-9151	Social and Community Service Managers	detailed	126,230	0.8	34.07	70,870	0.4	19.12	24.05	31.10	40.98	53.35	39,770	50,030	64,680	85,230	110,970		
11-9160	Emergency Management Directors	broad	9,570	1.8	37.53	78,060	1.2	17.67	24.12	33.89	47.69	64.37	36,760	50,160	70,500	99,200	133,880		
11-9161	Emergency Management Directors	detailed	9,570	1.8	37.53	78,060	1.2	17.67	24.12	33.89	47.69	64.37	36,760	50,160	70,500	99,200	133,880		
11-9190	Miscellaneous Managers	broad	403,670	0.6	53.92	112,150	0.3	25.41	36.40	50.47	65.97	82.97	52,860	75,710	104,970	137,220	172,570		
11-9199	Managers, All Other	detailed	403,670	0.6	53.92	112,150	0.3	25.41	36.40	50.47	65.97	82.97	52,860	75,710	104,970	137,220	172,570		
13-0000	Business and Financial Operations Occupations	major	7,281,190	0.2	36.09	75,070	0.2	17.74	23.78	31.99	43.47	58.13	36,910	49,460	66,530	90,410	120,910		
13-1000	Business Operations Specialists	minor	4,629,810	0.3	34.54	71,840	0.2	17.35	23.27	31.37	42.23	55.19	36,100	48,400	65,260	87,840	114,790		
13-1010	Agents and Business Managers of Artists, Performers, and Athletes	broad	13,470	7.3	41.62	86,560	4.0	13.12	19.02	29.85	47.11	93.66	27,290	39,560	62,080	97,990	194,810		
13-1011	Agents and Business Managers of Artists, Performers, and Athletes	detailed	13,470	7.3	41.62	86,560	4.0	13.12	19.02	29.85	47.11	93.66	27,290	39,560	62,080	97,990	194,810		
13-1020	Buyers and Purchasing Agents	broad	418,530	0.6	31.44	65,390	0.3	17.03	22.02	29.18	38.50	48.71	35,430	45,810	60,700	80,080	101,320		
13-1021	Buyers and Purchasing Agents, Farm Products	detailed	11,490	3.4	30.73	63,910	1.7	15.54	20.83	28.09	37.14	49.23	32,330	43,320	58,430	77,250	102,410		
13-1022	Wholesale and Retail Buyers, Except Farm Products	detailed	109,440	1.8	28.87	60,040	0.8	14.48	18.99	25.65	34.82	47.03	30,110	39,510	53,340	72,430	97,830		
13-1023	Purchasing Agents, Except Wholesale, Retail, and Farm Products	detailed	297,600	0.5	32.41	67,420	0.2	18.56	23.39	30.43	39.59	48.93	38,600	48,650	63,300	82,340	101,770		
13-1030	Claims Adjusters, Appraisers, Examiners, and Investigators	broad	289,550	1.3	31.27	65,040	0.6	18.19	23.21	30.61	37.96	46.02	37,840	48,270	63,670	78,950	95,720		
13-1031	Claims Adjusters, Examiners, and Investigators	detailed	274,420	1.3	31.24	64,990	0.7	18.05	23.09	30.62	37.97	46.04	37,540	48,020	63,680	78,980	95,760		
13-1032	Insurance Appraisers, Auto Damage	detailed	15,130	4.5	31.70	65,930	1.0	20.55	25.18	30.53	37.77	45.67	42,740	52,380	63,510	78,560	95,000		
13-1040	Compliance Officers	broad	273,910	0.7	33.77	70,250	0.5	18.09	23.64	31.99	41.64	50.61	37,630	49,160	66,540	86,620	105,260		
13-1041	Compliance Officers	detailed	273,910	0.7	33.77	70,250	0.5	18.09	23.64	31.99	41.64	50.61	37,630	49,160	66,540	86,620	105,260		
13-1050	Cost Estimators	broad	214,610	0.8	32.03	66,620	0.3	17.25	22.75	29.71	38.74	49.64	35,870	47,330	61,790	80,570	103,250		
13-1051	Cost Estimators	detailed	214,610	0.8	32.03	66,620	0.3	17.25	22.75	29.71	38.74	49.64	35,870	47,330	61,790	80,570	103,250		
13-1070	Human Resources Workers	broad	605,040	0.5	31.14	64,780	0.3	15.92	21.18	28.58	38.15	49.43	33,110	44,050	59,440	79,360	102,820		
13-1071	Human Resources Specialists	detailed	524,800	0.5	31.20	64,890	0.2	16.72	21.45	28.45	37.72	48.76	34,770	44,620	59,180	78,460	101,420		
13-1074	Farm Labor Contractors	detailed	810	23.4	22.74	47,290	9.0	8.71	10.23	16.90	28.97	45.85	18,120	21,280	35,160	60,260	95,360		
13-1075	Labor Relations Specialists	detailed	79,430	1.8	30.89	64,250	1.4	8.88	16.42	29.96	41.84	54.97	18,480	34,160	62,310	87,020	114,340		
13-1080	Logisticians	broad	146,060	1.1	37.41	77,810	0.3	21.82	27.65	35.66	45.66	56.40	45,380	57,520	74,170	94,980	117,310		
13-1081	Logisticians	detailed	146,060	1.1	37.41	77,810	0.3	21.82	27.65	35.66	45.66	56.40	45,380	57,520	74,170	94,980	117,310		
13-1110	Management Analysts	broad	637,690	0.9	44.19	91,910	0.4	22.38	29.30	39.10	52.49	71.98	46,560	60,950	81,330	109,170	149,720		
13-1111	Management Analysts	detailed	637,690	0.9	44.19	91,910	0.4	22.38	29.30	39.10	52.49	71.98	46,560	60,950	81,330	109,170	149,720		
13-1120	Meeting, Convention, and Event Planners	broad	95,850	1.5	25.01	52,020	0.9	12.34	16.72	22.76	30.36	39.92	25,670	34,790	47,350	63,140	83,030		
13-1121	Meeting, Convention, and Event Planners	detailed	95,850	1.5	25.01	52,020	0.9	12.34	16.72	22.76	30.36	39.92	25,670	34,790	47,350	63,140	83,030		
13-1130	Fundraisers	broad	68,910	1.4	27.85	57,930	0.6	15.31	19.81	26.02	34.45	44.01	31,850	41,190	54,130	71,660	91,530		
13-1131	Fundraisers	detailed	68,910	1.4	27.85	57,930	0.6	15.31	19.81	26.02	34.45	44.01	31,850	41,190	54,130	71,660	91,530		
13-1140	Compensation, Benefits, and Job Analysis Specialists	broad	79,190	1.2	31.97	66,490	0.4	18.80	23.28	29.85	38.08	48.57	39,090	48,420	62,080	79,220	101,020		
13-1141	Compensation, Benefits, and Job Analysis Specialists	detailed	79,190	1.2	31.97	66,490	0.4	18.80	23.28	29.85	38.08	48.57	39,090	48,420	62,080	79,220	101,020		
13-1150	Training and Development Specialists	broad	269,710	1.1	30.46	63,350	0.3	15.58	20.65	28.37	38.12	48.56	32,410	42,950	59,020	79,280	101,010		
13-1151	Training and Development Specialists	detailed	269,710	1.1	30.46	63,350	0.3	15.58	20.65	28.37	38.12	48.56	32,410	42,950	59,020	79,280	101,010		
13-1160	Market Research Analysts and Marketing Specialists	broad	558,630	0.8	33.95	70,620	0.5	16.32	21.90	30.08	42.44	58.52	33,950	45,550	62,560	88,260	121,720		
13-1161	Market Research Analysts and Marketing Specialists	detailed	558,630	0.8	33.95	70,620	0.5	16.32	21.90	30.08	42.44	58.52	33,950	45,550	62,560	88,260	121,720		
13-1190	Miscellaneous Business Operations Specialists	broad	958,670	0.5	35.99	74,870	0.3	18.28	24.75	33.19	44.27	56.97	38,020	51,480	69,040	92,080	118,500		
13-1199	Business Operations Specialists, All Other	detailed	958,670	0.5	35.99	74,870	0.3	18.28	24.75	33.19	44.27	56.97	38,020	51,480	69,040	92,080	118,500		
13-2000	Financial Specialists	minor	2,651,370	0.4	38.80	80,700	0.3	18.61	24.76	33.07	45.64	63.36	38,700	51,510	68,780	94,940	131,800		
13-2010	Accountants and Auditors	broad	1,246,540	0.6	36.89	76,730	0.4	20.26	25.60	32.76	43.59	58.13	42,140	53,240	68,150	90,670	120,910		
13-2011	Accountants and Auditors	detailed	1,246,540	0.6	36.89	76,730	0.4	20.26	25.60	32.76	43.59	58.13	42,140	53,240	68,150	90,670	120,910		
13-2020	Appraisers and Assessors of Real Estate	broad	60,770	2.6	27.90	58,030	1.2	13.01	18.03	24.93	35.13	46.69	27,060	37,490	51,850	73,080	97,120		
13-2021	Appraisers and Assessors of Real Estate	detailed	60,770	2.6	27.90	58,030	1.2	13.01	18.03	24.93	35.13	46.69	27,060	37,490	51,850	73,080	97,120		
13-2030	Budget Analysts	broad	54,700	1.1	37.10	77,170	0.4	23.22	28.30	35.50	44.66	53.58	48,300	58,860	73,840	92,890	111,460		
13-2031	Budget Analysts	detailed	54,700	1.1	37.10	77,170	0.4	23.22	28.30	35.50	44.66	53.58	48,300	58,860	73,840	92,890	111,460		
13-2040	Credit Analysts	broad	72,930	1.9	39.02	81,160	0.9	19.64	25.25	33.62	46.59	66.21	40,860	52,510	69,930	96,910	137,730		
13-2041	Credit Analysts	detailed	72,930	1.9	39.02	81,160	0.9	19.64	25.25	33.62	46.59	66.21	40,860	52,510	69,930	96,910	137,730		
13-2050	Financial Analysts and Advisors	broad	575,110	0.9	49.54	103,050	0.7	21.49	28.27	38.91	57.59	94.91	44,690	58,800	80,940	119,780	197,410		
13-2051	Financial Analysts	detailed	281,610	1.3	46.94	97,640	1.0	24.21	30.11	39.31	53.73	79.38	50,350	62,640	81,760	111,760	165,100		
13-2052	Personal Financial Advisors	detailed	201,850	1.4	59.18	123,100	1.0	19.79	27.63	43.53	77.16	#	41,160	57,460	90,530	160,490	#		
13-2053	Insurance Underwriters	detailed	91,650	2.3	36.29	75,480	0.8	19.31	24.66	32.54	44.12	58.38	40,160	51,290	67,680	91,780	121,430		
13-2060	Financial Examiners	broad	49,750	1.7	42.76	88,940	1.1	22.31	28.75	38.11	52.48	71.34	46,400	59,810	79,280	109,160	148,390		
13-2061	Financial Examiners	detailed	49,750	1.7	42.76	88,940	1.1	22.31	28.75	38.11	52.48	71.34	46,400	59,810	79,280	109,160	148,390		
13-2070	Credit Counselors and Loan Officers	broad	339,800	1.1	35.37	73,570	0.5	15.53	20.81	29.34	42.87	61.85	32,310	43,270	61,030	89,160	128,660		
13-2071	Credit Counselors	detailed	34,110	4.7	23.79	49,480	1.3	14.19	17.10	21.34	27.15	36.17	29,510	35,570	44,380	56,470	75,220		
13-2072	Loan Officers	detailed	305,700	1.1	36.67	76,260	0.5	15.78	21.68	30.60	44.53	63.60	32,820	45,100	63,650	92,610	132,290		
13-2080	Tax Examiners, Collectors and Preparers, and Revenue Agents	broad	128,480	1.6	24.56	51,080	1.0	10.49	14.69	21.78	30.88	43.48	21,820	30,560	45,300	64,240	90,430		
13-2081	Tax Examiners and Collectors, and Revenue Agents	detailed	58,450	0.3	27.86	57,950	0.3	15.32	19.27	25.03	34.66	46.85	31,860	40,090	52,060	72,090	97,440		
13-2082	Tax Preparers	detailed	70,030	2.8	21.80	45,340	1.7	9.42	11.80	17.57	27.83	38.58	19,600	24,550	36,550	57,880	80,250		
13-2090	Miscellaneous Financial Specialists	broad	123,270	1.2	36.65	76,230	0.6	18.75	24.98	33.40	44.38	57.10	39,000	51,950	69,470	92,310	118,780		
13-2099	Financial Specialists, All Other	detailed	123,270	1.2	36.65	76,230	0.6	18.75	24.98	33.40	44.38	57.10	39,000	51,950	69,470	92,310	118,780		
15-0000	Computer and Mathematical Occupations	major	4,165,140	0.4	42.25	87,880	0.4	20.51	28.42	39.82	53.70	67.91	42,650	59,120	82,830	111,690	141,250		
15-1100	Computer Occupations	minor	3,997,370	0.4	42.24	87,870	0.4	20.46	28.41	39.84	53.73	67.91	42,560	59,090	82,860	111,770	141,260		
15-1110	Computer and Information Research Scientists	broad	26,580	4.1	55.92	116,320	1.4	31.23	42.02	53.77	67.52	81.58	64,950	87,400	111,840	140,430	169,680		
15-1111	Computer and Information Research Scientists	detailed	26,580	4.1	55.92	116,320	1.4	31.23	42.02	53.77	67.52	81.58	64,950	87,400	111,840	140,430	169,680		
15-1120	Computer and Information Analysts	broad	665,830	1.0	44.36	92,260	0.3	25.57	32.58	42.29	54.03	67.09	53,190	67,770	87,960	112,390	139,540		
15-1121	Computer Systems Analysts	detailed	568,960	1.0	44.05	91,620	0.3	25.53	32.43	41.93	53.38	66.20	53,110	67,460	87,220	111,040	137,690		
15-1122	Information Security Analysts	detailed	96,870	2.4	46.17	96,040	0.6	25.85	33.58	44.52	57.22	70.81	53,760	69,840	92,600	119,020	147,290		
15-1130	Software Developers and Programmers	broad	1,604,570	0.9	48.11	100,080	0.6	25.63	34.33	46.07	59.74	74.67	53,300	71,410	95,830	124,260	155,310		
15-1131	Computer Programmers	detailed	271,200	1.7	40.95	85,180	0.9	21.91	29.38	38.39	49.85	62.67	45,570	61,100	79,840	103,690	130,360		
15-1132	Software Developers, Applications	detailed	794,000	1.3	50.14	104,300	0.8	28.03	36.62	48.12	61.03	75.77	58,300	76,170	100,080	126,940	157,590		
15-1133	Software Developers, Systems Software	detailed	409,820	1.3	53.17	110,590	0.7	31.08	40.03	51.38	64.41	78.47	64,650	83,270	106,860	133,970	163,220		
15-1134	Web Developers	detailed	129,540	1.4	34.69	72,150	0.7	17.01	22.87	31.79	44.04	57.48	35,390	47,580	66,130	91,600	119,550		
15-1140	Database and Systems Administrators and Network Architects	broad	647,610	0.7	43.15	89,750	0.2	24.06	30.92	40.85	53.58	65.85	50,040	64,320	84,970	111,460	136,970		
15-1141	Database Administrators	detailed	113,730	1.0	41.89	87,130	0.3	22.74	29.97	40.84	52.86	62.47	47,300	62,350	84,950	109,940	129,930		
15-1142	Network and Computer Systems Administrators	detailed	376,820	0.8	40.63	84,500	0.3	23.50	29.75	38.32	49.23	61.35	48,870	61,870	79,700	102,400	127,610		
15-1143	Computer Network Architects	detailed	157,070	1.5	50.12	104,240	0.5	26.74	36.04	48.66	61.93	76.25	55,610	74,970	101,210	128,820	158,590		
15-1150	Computer Support Specialists	broad	791,580	0.7	27.21	56,600	0.3	14.94	19.08	25.08	33.23	43.70	31,070	39,680	52,160	69,120	90,890		
15-1151	Computer User Support Specialists	detailed	602,840	0.7	25.53	53,100	0.3	14.15	18.18	23.74	30.64	39.50	29,440	37,810	49,390	63,740	82,160		
15-1152	Computer Network Support Specialists	detailed	188,740	1.3	32.58	67,770	0.4	17.81	22.86	30.13	39.69	50.92	37,040	47,550	62,670	82,560	105,910		
15-1190	Miscellaneous Computer Occupations	broad	261,210	0.9	42.73	88,880	0.4	21.83	31.10	41.59	53.17	64.37	45,410	64,690	86,510	110,590	133,890		
15-1199	Computer Occupations, All Other	detailed	261,210	0.9	42.73	88,880	0.4	21.83	31.10	41.59	53.17	64.37	45,410	64,690	86,510	110,590	133,890		
15-2000	Mathematical Science Occupations	minor	167,770	1.7	42.42	88,230	0.5	21.54	28.66	39.30	52.78	67.74	44,810	59,620	81,750	109,780	140,900		
15-2010	Actuaries	broad	19,940	3.5	54.87	114,120	1.3	28.32	35.81	48.37	67.40	89.54	58,910	74,480	100,610	140,190	186,250		
15-2011	Actuaries	detailed	19,940	3.5	54.87	114,120	1.3	28.32	35.81	48.37	67.40	89.54	58,910	74,480	100,610	140,190	186,250		
15-2020	Mathematicians	broad	2,730	5.1	50.77	105,600	1.7	26.39	34.83	50.87	62.37	77.07	54,890	72,440	105,810	129,730	160,310		
15-2021	Mathematicians	detailed	2,730	5.1	50.77	105,600	1.7	26.39	34.83	50.87	62.37	77.07	54,890	72,440	105,810	129,730	160,310		
15-2030	Operations Research Analysts	broad	109,150	2.4	40.55	84,340	0.7	20.87	27.60	38.08	50.68	63.78	43,400	57,400	79,200	105,410	132,660		
15-2031	Operations Research Analysts	detailed	109,150	2.4	40.55	84,340	0.7	20.87	27.60	38.08	50.68	63.78	43,400	57,400	79,200	105,410	132,660		
15-2040	Statisticians	broad	33,440	1.9	40.94	85,160	1.0	22.35	29.22	38.70	50.20	62.54	46,500	60,770	80,500	104,420	130,090		
15-2041	Statisticians	detailed	33,440	1.9	40.94	85,160	1.0	22.35	29.22	38.70	50.20	62.54	46,500	60,770	80,500	104,420	130,090		
15-2090	Miscellaneous Mathematical Science Occupations	broad	2,510	9.3	35.44	73,700	2.8	13.89	17.70	28.98	46.73	72.68	28,890	36,810	60,290	97,200	151,170		
15-2091	Mathematical Technicians	detailed	510	8.0	28.12	58,490	4.9	13.93	17.50	23.87	30.61	48.43	28,980	36,410	49,660	63,670	100,730		
15-2099	Mathematical Science Occupations, All Other	detailed	2,000	11.3	37.28	77,550	3.0	13.89	17.84	31.27	50.18	75.77	28,890	37,110	65,050	104,370	157,600		
17-0000	Architecture and Engineering Occupations	major	2,499,050	0.6	40.53	84,300	0.3	20.46	27.66	37.45	50.06	64.15	42,550	57,540	77,900	104,130	133,440		
17-1000	Architects, Surveyors, and Cartographers	minor	174,720	1.2	36.66	76,260	0.6	19.67	25.54	33.66	44.55	57.09	40,910	53,110	70,010	92,670	118,750		
17-1010	Architects, Except Naval	broad	119,280	1.6	39.39	81,920	0.8	21.49	27.46	35.98	47.05	60.90	44,700	57,120	74,850	97,870	126,680		
17-1011	Architects, Except Landscape and Naval	detailed	99,860	1.9	40.61	84,470	0.8	22.40	28.36	36.99	47.98	62.41	46,600	59,000	76,930	99,790	129,810		
17-1012	Landscape Architects	detailed	19,420	4.7	33.08	68,820	1.5	18.72	23.55	30.52	40.16	51.33	38,950	48,990	63,480	83,530	106,770		
17-1020	Surveyors, Cartographers, and Photogrammetrists	broad	55,440	1.5	30.80	64,070	0.6	16.67	21.84	28.94	38.02	47.44	34,670	45,420	60,200	79,080	98,680		
17-1021	Cartographers and Photogrammetrists	detailed	12,100	2.5	31.81	66,160	0.7	19.11	23.61	30.17	38.40	47.98	39,740	49,100	62,750	79,870	99,800		
17-1022	Surveyors	detailed	43,340	1.8	30.52	63,480	0.7	16.17	21.32	28.56	37.89	47.29	33,630	44,350	59,390	78,800	98,360		
